work_id,award_body,year,category,result,recipient_person_id
5,Academy Awards,2003,Best Sound,nominated,
5,Academy Awards,2003,Best Visual Effects,nominated,
6,Academy Awards,2005,Best Visual Effects,won,
6,Academy Awards,2005,Best Sound Mixing,nominated,
6,Academy Awards,2005,Best Sound Editing,nominated,
6,Saturn Awards,2005,Best Fantasy Film,won,
6,Saturn Awards,2005,Best Director,won,194
11,Academy Awards,2019,Best Animated Feature,won,
13,Academy Awards,2022,Best Visual Effects,nominated,
14,Critics' Choice Movie Awards,2024,Best Animated Feature,won,
14,Annie Awards,2024,Best Animated Feature,won,
14,Producers Guild of America Awards,2024,Best Animated Feature,won,
14,Golden Globe Awards,2024,Best Animated Feature,nominated,
14,BAFTA Awards,2024,Best Animated Feature,nominated,
14,Academy Awards,2024,Best Animated Feature,nominated,
19,Golden Raspberry Awards,2023,Worst Actor,won,278
19,Golden Raspberry Awards,2023,Worst Supporting Actress,won,80
19,Golden Raspberry Awards,2023,Worst Picture,nominated,
20,Golden Raspberry Awards,2025,Worst Picture,won,
20,Golden Raspberry Awards,2025,Worst Actress,won,84
20,Golden Raspberry Awards,2025,Worst Screenplay,won,
10,Kids' Choice Awards,2018,Favorite Movie,nominated,
11,Hugo Awards,2019,"Best Dramatic Presentation, Long Form",won,
11,BAFTA's Children & Young People Awards,2019,Feature Film,won,
11,Kids' Choice Awards,2019,Favorite Animated Movie,nominated,
12,Kids' Choice Awards,2020,Favorite Movie,nominated,
14,Kids' Choice Awards,2024,Favorite Animated Movie,won,
6,Academy Awards,2005,Best Sound,nominated,
6,Kids' Choice Awards,2005,Favorite Movie,nominated,
6,Broadcast Film Critics Association Awards,2004,Best Family Film,nominated,
63,Annie Awards,2005,Best Animated Video Game,won,
74,British Academy Games Awards,2014,Action and Adventure,nominated,
74,British Academy Games Awards,2014,British Game,nominated,
76,The Game Awards − Most Anticipated Game,2017,The Game Awards − Most Anticipated Game,nominated,
76,The Game Awards − Game of the Year,2018,The Game Awards − Game of the Year,nominated,
76,The Game Awards − Best Game Direction,2018,The Game Awards − Best Game Direction,nominated,
76,The Game Awards − Best Narrative,2018,The Game Awards − Best Narrative,nominated,
76,The Game Awards − Best Score and Music,2018,The Game Awards − Best Score and Music,nominated,
76,The Game Awards − Best Audio Design,2018,The Game Awards − Best Audio Design,nominated,
76,The Game Awards − Best Performance,2018,The Game Awards − Best Performance,nominated,581
76,The Game Awards − Best Action/Adventure,2018,The Game Awards − Best Action/Adventure,nominated,
76,British Academy Games Awards,2019,Artistic Achievement,nominated,
76,British Academy Games Awards,2019,Audio Achievement,nominated,
76,British Academy Games Awards,2019,Narrative,nominated,
78,Steam Awards,2022,Outstanding Story-Rich Game,nominated,
79,British Academy Games Awards,2021,Music,won,
79,Steam Awards,2023,Outstanding Visual Style,won,
79,The Game Awards − Best Action/Adventure,2020,The Game Awards − Best Action/Adventure,nominated,
79,The Game Awards − Best Performance,2020,The Game Awards − Best Performance,nominated,139
79,The Game Awards − Player's Voice,2020,The Game Awards − Player's Voice,nominated,
79,British Academy Games Awards,2021,Best Game,nominated,
79,British Academy Games Awards,2021,Animation,nominated,
79,British Academy Games Awards,2021,Audio Achievement,nominated,
79,British Academy Games Awards,2021,Narrative,nominated,
79,British Academy Games Awards,2021,Performer in a Leading Role,nominated,139
79,British Academy Games Awards,2021,Technical Achievement,nominated,
8,Kids' Choice Awards,2013,Favorite Movie,nominated,
80,The Game Awards − Best Action/Adventure,2023,The Game Awards − Best Action/Adventure,nominated,
80,The Game Awards − Game of the Year,2023,The Game Awards − Game of the Year,nominated,
80,The Game Awards − Best Game Direction,2023,The Game Awards − Best Game Direction,nominated,
80,The Game Awards − Best Audio Design,2023,The Game Awards − Best Audio Design,nominated,
80,The Game Awards − Innovation in Accessibility,2023,The Game Awards − Innovation in Accessibility,nominated,
80,The Game Awards − Best Narrative,2023,The Game Awards − Best Narrative,nominated,
80,The Game Awards − Best Performance,2023,The Game Awards − Best Performance,nominated,581
80,The Game Awards − Player's Voice,2023,The Game Awards − Player's Voice,nominated,
80,Steam Awards,2025,Best Soundtrack,nominated,
9,Kids' Choice Awards,2015,Favorite Movie,nominated,
