id,work_id,scope,week_number,week_start_date,domestic_usd,international_usd,worldwide_usd
1,1,lifetime,,,,,9000000
2,5,lifetime,,,403700000,,826800000
3,6,lifetime,,,,,797000000
4,7,lifetime,,,,,895900000
5,8,lifetime,,,,,758700000
6,9,lifetime,,,,,717000000
7,10,lifetime,,,,,880900000
8,11,lifetime,,,,,395000000
9,12,lifetime,,,,,1133000000
10,13,lifetime,,,,,1921000000
11,14,lifetime,,,,,690800000
12,17,lifetime,,,,,856100000
13,18,lifetime,,,,,506800000
14,19,lifetime,,,,,167500000
15,20,lifetime,,,,,100500000
16,21,lifetime,,,,,62000000
17,22,week,1,,51000000,109000000,
18,22,week,2,,26100000,,
19,22,week,3,,16200000,,
20,22,week,4,,7300000,,
