work_id,person_id,role,character_name,credit_order
1,1,actor,Peter Parker / Spider-Man,1
1,2,actor,J. Jonah Jameson,2
1,155,actor,Capt. Barbera,3
1,156,actor,Judy Tyler,4
1,157,actor,May Parker,5
1,158,actor,"Joe ""Robbie"" Robertson",6
1,159,actor,Edward Byron,7
1,160,actor,Monahan,8
1,161,actor,Prof. Noah Tyler,9
1,162,director,,
1,163,screenwriter,,
1,164,producer,,
1,165,producer,,
1,166,producer,,
1,167,composer,,
1,168,cinematographer,,
1,169,editor,,
2,1,actor,Peter Parker / Spider-Man,1
2,4,actor,Mr. White,2
2,3,actor,J. Jonah Jameson,3
2,170,actor,Gale Hoffman,4
2,155,actor,Capt. Barbera,5
2,108,actor,Rita Conway,6
2,171,actor,Craig,7
2,172,actor,Angel,8
2,173,actor,Dr. Baylor,9
2,174,director,,
2,175,screenwriter,,
2,174,producer,,
2,175,producer,,
2,176,cinematographer,,
3,1,actor,Spider-Man / Peter Parker,1
3,3,actor,J. Jonah Jameson,2
3,6,actor,Emily Chan,3
3,177,actor,Min Lo Chan,4
3,7,actor,Charles Zeider,5
3,5,actor,Julie Masters,6
3,108,actor,Rita Conway,7
3,178,actor,Prof. Dent,8
3,179,actor,Clyde Evans,9
3,180,actor,Major Collings,10
3,181,director,,
3,182,screenwriter,,
3,182,producer,,
3,183,composer,,
3,184,cinematographer,,
3,185,editor,,
3,186,editor,,
4,8,actor,Takuya Yamashiro / Spider-Man,1
4,9,actor,Jūzō Mamiya,2
4,109,actor,(supporting),3
4,110,actor,(supporting),4
4,187,director,,
4,188,screenwriter,,
4,189,story,,
4,190,producer,,
4,191,composer,,
5,10,actor,Peter Parker / Spider-Man,1
5,11,actor,Norman Osborn / Green Goblin,2
5,12,actor,Mary Jane Watson,3
5,13,actor,Harry Osborn,4
5,192,actor,Ben Parker,5
5,18,actor,May Parker,6
5,14,actor,J. Jonah Jameson,7
5,15,actor,Flash Thompson,8
5,193,actor,The Carjacker,9
5,16,actor,Robbie Robertson,10
5,194,director,,
5,195,screenwriter,,
5,196,producer,,
5,197,producer,,
5,198,composer,,
5,199,cinematographer,,
5,200,editor,,
5,201,editor,,
6,10,actor,Peter Parker / Spider-Man,1
6,12,actor,Mary Jane Watson,2
6,13,actor,Harry Osborn,3
6,17,actor,Dr. Otto Octavius / Doctor Octopus,4
6,18,actor,May Parker,5
6,19,actor,Rosalie Octavius,6
6,14,actor,J. Jonah Jameson,7
6,20,actor,John Jameson,8
6,202,actor,Dr. Curt Connors,9
6,11,actor,Norman Osborn,10
6,194,director,,
6,203,screenwriter,,
6,204,story,,
6,205,story,,
6,206,story,,
6,196,producer,,
6,207,producer,,
6,198,composer,,
6,208,cinematographer,,
6,200,editor,,
6,209,production designer,,
7,10,actor,Peter Parker / Spider-Man,1
7,12,actor,Mary Jane Watson,2
7,13,actor,Harry Osborn / New Goblin,3
7,21,actor,Flint Marko / Sandman,4
7,210,actor,Eddie Brock Jr. / Venom,5
7,22,actor,Gwen Stacy,6
7,23,actor,Capt. George Stacy,7
7,18,actor,May Parker,8
7,14,actor,J. Jonah Jameson,9
7,194,director,,
7,194,screenwriter,,
7,211,screenwriter,,
7,203,screenwriter,,
7,196,producer,,
7,207,producer,,
7,212,producer,,
7,213,composer,,
7,208,cinematographer,,
7,200,editor,,
8,24,actor,Peter Parker / Spider-Man,1
8,25,actor,Gwen Stacy,2
8,26,actor,Dr. Curt Connors / Lizard,3
8,27,actor,Capt. George Stacy,4
8,28,actor,Richard Parker,5
8,30,actor,Rajit Ratha,6
8,214,actor,Ben Parker,7
8,215,actor,May Parker,8
8,29,actor,Flash Thompson,9
8,216,actor,Mary Parker,10
8,217,director,,
8,218,screenwriter,,
8,203,screenwriter,,
8,219,screenwriter,,
8,196,producer,,
8,207,producer,,
8,220,producer,,
8,221,composer,,
8,222,cinematographer,,
8,223,editor,,
8,224,editor,,
9,24,actor,Peter Parker / Spider-Man,1
9,25,actor,Gwen Stacy,2
9,31,actor,Max Dillon / Electro,3
9,32,actor,Harry Osborn / Green Goblin,4
9,28,actor,Richard Parker,5
9,216,actor,Mary Parker,6
9,34,actor,Donald Menken,7
9,33,actor,Aleksei Sytsevich / Rhino,8
9,215,actor,May Parker,9
9,217,director,,
9,225,screenwriter,,
9,226,screenwriter,,
9,227,screenwriter,,
9,207,producer,,
9,220,producer,,
9,228,composer,,
9,229,composer,,
9,230,cinematographer,,
9,224,editor,,
10,35,actor,Peter Parker / Spider-Man,1
10,36,actor,Adrian Toomes / Vulture,2
10,37,actor,Tony Stark / Iron Man,3
10,38,actor,May Parker,4
10,39,actor,Happy Hogan,5
10,40,actor,Pepper Potts,6
10,231,actor,"Michelle ""MJ""",7
10,57,actor,Ned,8
10,232,actor,Liz,9
10,41,actor,Flash Thompson,10
10,233,actor,Aaron Davis,11
10,42,actor,Herman Schultz / Shocker,12
10,43,actor,Anne Marie Hoag,13
10,234,director,,
10,235,screenwriter,,
10,236,screenwriter,,
10,234,screenwriter,,
10,237,screenwriter,,
10,238,screenwriter,,
10,239,screenwriter,,
10,240,producer,,
10,241,producer,,
10,242,composer,,
10,243,cinematographer,,
10,244,editor,,
10,245,editor,,
11,44,actor,Miles Morales / Spider-Man,1
11,45,actor,Peter B. Parker / Spider-Man,2
11,46,actor,Gwen Stacy / Spider-Gwen,3
11,67,actor,Aaron Davis / The Prowler,4
11,47,actor,Jefferson Davis,5
11,49,actor,May Parker,6
11,48,actor,Rio Morales,7
11,50,actor,Peter Porker / Spider-Ham,8
11,51,actor,Peni Parker / SP//dr,9
11,52,actor,Spider-Man Noir,10
11,53,actor,Wilson Fisk / Kingpin,11
11,246,actor,Peter Parker (Miles' universe),12
11,247,director,,
11,248,director,,
11,249,director,,
11,250,screenwriter,,
11,249,screenwriter,,
11,207,producer,,
11,241,producer,,
11,250,producer,,
11,251,producer,,
11,252,producer,,
11,253,composer,,
11,254,editor,,
12,35,actor,Peter Parker / Spider-Man,1
12,54,actor,Quentin Beck / Mysterio,2
12,55,actor,Nick Fury,3
12,231,actor,MJ,4
12,56,actor,Maria Hill,5
12,39,actor,Happy Hogan,6
12,59,actor,Julius Dell,7
12,57,actor,Ned Leeds,8
12,58,actor,Roger Harrington,9
12,41,actor,Flash Thompson,10
12,38,actor,May Parker,11
12,234,director,,
12,238,screenwriter,,
12,239,screenwriter,,
12,240,producer,,
12,241,producer,,
12,242,composer,,
12,255,cinematographer,,
12,244,editor,,
12,256,editor,,
13,35,actor,Peter Parker / Spider-Man,1
13,231,actor,"Michelle ""MJ"" Jones-Watson",2
13,257,actor,Dr. Stephen Strange,3
13,57,actor,Ned Leeds,4
13,39,actor,Happy Hogan,5
13,31,actor,Max Dillon / Electro,6
13,11,actor,Norman Osborn / Green Goblin,7
13,17,actor,Otto Octavius / Doctor Octopus,8
13,60,actor,Wong,9
13,41,actor,Flash Thompson,10
13,38,actor,May Parker,11
13,24,actor,Peter Parker / Spider-Man (Peter-Three),12
13,10,actor,Peter Parker / Spider-Man (Peter-Two),13
13,234,director,,
13,238,screenwriter,,
13,239,screenwriter,,
13,240,producer,,
13,241,producer,,
13,242,composer,,
13,258,cinematographer,,
13,259,editor,,
13,256,editor,,
14,44,actor,Miles Morales / Spider-Man,1
14,46,actor,Gwen Stacy / Spider-Gwen,2
14,61,actor,Miguel O'Hara / Spider-Man 2099,3
14,45,actor,Peter B. Parker / Spider-Man,4
14,62,actor,Johnathon Ohnn / The Spot,5
14,260,actor,Jess Drew / Spider-Woman,6
14,63,actor,Hobie Brown / Spider-Punk,7
14,47,actor,Jefferson Morales,8
14,65,actor,Rio Morales,9
14,64,actor,Pavitr Prabhakar / Spider-Man India,10
14,66,actor,George Stacy,11
14,67,actor,Aaron Davis / Prowler (Earth-42),12
14,68,actor,Miles G. Morales / Prowler (Earth-42),13
14,261,director,,
14,262,director,,
14,263,director,,
14,250,screenwriter,,
14,251,screenwriter,,
14,264,screenwriter,,
14,250,producer,,
14,251,producer,,
14,241,producer,,
14,207,producer,,
14,252,producer,,
14,253,composer,,
14,265,editor,,
17,69,actor,Eddie Brock / Venom,1
17,70,actor,Anne Weying,2
17,71,actor,Carlton Drake / Riot,3
17,72,actor,Roland Treece,4
17,78,actor,Dan Lewis,5
17,73,actor,Dora Skirth,6
17,74,actor,Cletus Kasady,
17,75,actor,Mrs. Chen,8
17,76,actor,Maria,9
17,266,director,,
17,227,screenwriter,,
17,267,screenwriter,,
17,268,screenwriter,,
17,207,producer,,
17,220,producer,,
17,241,producer,,
17,269,composer,,
17,270,cinematographer,,
17,271,editor,,
17,272,editor,,
18,69,actor,Eddie Brock / Venom,1
18,74,actor,Cletus Kasady / Carnage,2
18,70,actor,Anne Weying,3
18,77,actor,Frances Barrison / Shriek,4
18,78,actor,Dan Lewis,5
18,273,actor,Patrick Mulligan,6
18,75,actor,Mrs. Chen,7
18,100,director,,
18,268,screenwriter,,
18,69,story,,
18,268,story,,
18,207,producer,,
18,220,producer,,
18,241,producer,,
18,268,producer,,
18,69,producer,,
18,274,producer,,
18,275,composer,,
18,276,cinematographer,,
18,271,editor,,
18,277,editor,,
19,278,actor,Dr. Michael Morbius,1
19,79,actor,Lucien / Milo Morbius,2
19,80,actor,Dr. Martine Bancroft,3
19,81,actor,Dr. Emil Nicholas,4
19,83,actor,Al Rodriguez,5
19,82,actor,Simon Stroud,6
19,36,actor,Adrian Toomes / Vulture,
19,279,director,,
19,280,screenwriter,,
19,281,screenwriter,,
19,207,producer,,
19,220,producer,,
19,282,producer,,
19,283,composer,,
19,284,cinematographer,,
19,224,editor,,
20,84,actor,"Cassandra ""Cassie"" Webb / Madame Web",1
20,285,actor,Julia Cornwall,2
20,286,actor,Anya Corazón,3
20,287,actor,Mattie Franklin,4
20,85,actor,Ezekiel Sims,5
20,88,actor,O'Neil,6
20,86,actor,Mary Parker,7
20,288,actor,Ben Parker,8
20,87,actor,Constance Webb,9
20,90,actor,Amaria,10
20,89,actor,Santiago,11
20,289,director,,
20,280,screenwriter,,
20,281,screenwriter,,
20,290,screenwriter,,
20,289,screenwriter,,
20,291,story,,
20,292,producer,,
20,293,composer,,
20,258,cinematographer,,
20,256,editor,,
21,91,actor,Sergei Kravinoff / Kraven the Hunter,1
21,94,actor,Calypso Ezili,2
21,92,actor,Dmitri Kravinoff / Chameleon,3
21,93,actor,Aleksei Sytsevich / Rhino,4
21,95,actor,The Foreigner,5
21,96,actor,Nikolai Kravinoff,6
21,294,actor,young Sergei,7
21,295,actor,young Dmitri,8
21,296,actor,young Calypso,9
21,98,actor,Semyon Chorney,10
21,97,actor,Ömer Ozdemir,11
21,297,director,,
21,298,screenwriter,,
21,299,screenwriter,,
21,300,screenwriter,,
21,300,story,,
21,207,producer,,
21,220,producer,,
21,301,producer,,
21,302,composer,,
21,303,composer,,
21,304,composer,,
21,305,cinematographer,,
21,306,editor,,
22,69,actor,Eddie Brock / Venom,1
22,99,actor,Gen. Rex Strickland,2
22,307,actor,Dr. Teddy Paine,3
22,26,actor,Martin Moon,4
22,273,actor,Patrick Mulligan,5
22,75,actor,Mrs. Chen,6
22,101,actor,Nova Moon,7
22,308,actor,"Sadie ""Christmas""",8
22,100,actor,Knull,9
22,309,actor,Bartender,10
22,78,actor,Head of Imperium / Dan Lewis,11
22,268,director,,
22,268,screenwriter,,
22,69,story,,
22,268,story,,
22,207,producer,,
22,220,producer,,
22,241,producer,,
22,268,producer,,
22,69,producer,,
22,274,producer,,
22,310,composer,,
22,311,cinematographer,,
22,312,editor,,
15,44,actor,Miles Morales / Spider-Man,1
15,46,actor,Gwen Stacy / Spider-Woman,2
15,61,actor,Miguel O'Hara / Spider-Man 2099,3
15,45,actor,Peter B. Parker / Spider-Man,4
15,62,actor,Jonathan Ohnn / The Spot,5
15,47,actor,Jefferson Davis,6
15,48,actor,Rio Morales,7
15,260,actor,Jessica Drew / Spider-Woman,8
15,63,actor,Hobie Brown / Spider-Punk,9
15,247,director,,
15,250,writer,,
15,251,writer,,
15,264,writer,,
15,250,producer,,
15,251,producer,,
15,241,producer,,
15,207,producer,,
15,252,producer,,
15,263,production designer,,
16,35,actor,Peter Parker / Spider-Man,1
16,231,actor,Michelle 'MJ' Jones-Watson,2
16,57,actor,Ned Leeds,3
16,102,actor,Frank Castle / The Punisher,4
16,105,actor,Bruce Banner,5
16,103,actor,Mac Gargan / Scorpion,6
