identity_id,comic_id,method
1,127,wikidata
2,198,reference
3,199,reference
4,200,reference
5,123,wikidata
6,211,reference
7,84,wikidata
9,119,wikidata
10,86,wikidata
11,151,reference
12,159,reference
13,92,wikidata
14,142,wikidata
15,112,wikidata
16,112,wikidata
17,112,wikidata
18,120,wikidata
19,128,wikidata
20,98,wikidata
21,89,wikidata
22,124,wikidata
23,192,reference
24,138,wikidata
25,181,reference
26,85,wikidata
27,127,wikidata
28,116,wikidata
29,87,wikidata
30,103,wikidata
31,126,wikidata
34,203,reference
35,163,reference
37,170,reference
38,34,wikidata
40,127,wikidata
41,164,reference
42,85,wikidata
43,161,reference
44,127,wikidata
45,85,wikidata
46,155,reference
48,257,reference
49,85,wikidata
53,153,reference
57,235,reference
58,177,reference
59,177,reference
60,165,reference
64,80,wikidata
65,152,reference
66,170,reference
67,87,wikidata
70,180,reference
72,82,wikidata
74,140,wikidata
78,127,wikidata
80,185,reference
84,211,reference
87,80,wikidata
95,140,wikidata
96,86,wikidata
97,86,wikidata
98,160,reference
104,154,reference
107,111,reference
108,104,wikidata
109,131,wikidata
110,127,wikidata
113,169,reference
115,130,wikidata
117,97,wikidata
122,194,reference
123,179,reference
124,204,reference
126,157,reference
127,202,reference
129,117,wikidata
132,80,wikidata
135,175,reference
136,178,reference
137,84,wikidata
139,142,reference
140,126,wikidata
144,168,reference
145,168,reference
149,176,reference
150,84,wikidata
151,124,wikidata
153,140,wikidata
161,185,reference
163,127,wikidata
171,80,wikidata
177,193,reference
178,109,wikidata
179,109,wikidata
180,185,reference
181,132,wikidata
182,162,reference
183,115,wikidata
186,127,wikidata
187,117,wikidata
196,102,wikidata
198,122,wikidata
199,166,reference
200,146,wikidata
201,150,reference
209,136,wikidata
210,127,wikidata
211,83,wikidata
214,80,wikidata
222,132,wikidata
224,121,wikidata
225,168,reference
226,197,reference
227,129,wikidata
228,145,wikidata
230,76,reference
234,250,reference
237,148,wikidata
239,139,wikidata
241,109,wikidata
243,146,wikidata
244,139,wikidata
245,156,reference
247,158,reference
249,167,reference
252,81,wikidata
256,84,reference
258,174,reference
260,136,wikidata
261,135,wikidata
