identity_id,gender,publisher,narrative_universe,creators,first_appearance_title,first_appearance_year,wikipedia_title
1,female,,Earth-616,Stan Lee; Steve Ditko,Amazing Fantasy #15,1962,Aunt May
2,male,,Earth-616,Gerry Conway,,,Ben Reilly
3,female,,Earth-616,Marv Wolfman; Keith Pollard,,,Black Cat (Marvel Comics)
4,female,,Earth-616,,,,Calypso (comics)
5,male,,Earth-616,Jack Kirby; Joe Simon,Captain America Comics #1,1941,Captain America
6,male,,Earth-616,,,,Carnage (character)
7,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #1,1963,Chameleon (character)
8,male,,Earth-616,Stan Lee; Bill Everett,,,Daredevil (Marvel Comics character)
9,male,,Earth-616,Stan Lee; Jack Kirby,Fantastic Four #5,1962,Doctor Doom
10,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #3,1963,Doctor Octopus
11,male,,Earth-616,Stan Lee; Steve Ditko,,,Doctor Strange
12,male,,Earth-616,David Michelinie,,,Venom (character)
13,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #9,1964,Electro (Marvel Comics)
14,male,,Earth-616,Gerry Conway; John Romita Sr.; Ross Andru,The Amazing Spider-Man #129,1974,Punisher
15,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #31,1965,Harry Osborn
16,female,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #31,1965,Gwen Stacy
17,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #31,1965,Harry Osborn
18,male,,Earth-616,Stan Lee; Jack Kirby,Incredible Hulk #1,1962,Hulk
19,male,,Earth-616,Stan Lee; John Romita Sr.,The Amazing Spider-Man #50,1967,Kingpin (character)
20,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #15,1964,Kraven the Hunter
21,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #6,1963,Lizard (character)
22,female,,Earth-616,Mike Zeck,Marvel Super Heroes Secret Wars #6,1984,Julia Carpenter
23,male,,Earth-616,Roy Thomas; Gil Kane,,,Morbius
24,female,,Marvel Cinematic Universe,,Spider-Man: Homecoming,2017,MJ (Marvel Cinematic Universe)
25,male,,,Brian Michael Bendis; Sara Pichelli,,,Miles Morales
26,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #2,1963,Mysterio
27,male,,Earth-616,Stan Lee; Steve Ditko,Amazing Fantasy #15,1962,Spider-Man
28,male,,Earth-616,Stan Lee; John Romita Sr.,The Amazing Spider-Man #41,1966,Rhino (character)
29,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #4,1963,Sandman (Marvel Comics)
30,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #19,1964,Mac Gargan
31,male,,Earth-616,Stan Lee; John Romita Sr.,The Amazing Spider-Man #46,1967,Shocker (character)
32,female,,Earth-616,Ron Lim; Mark Bagley; Mike W. Barr; Tom DeFalco; Jerry Bingham; Terry Kavanagh,,,Shriek (character)
33,female,,Earth-616,Dan Slott; Humberto Ramos,,,Silk (character)
34,female,,Earth-616,Tom DeFalco; Ron Frenz,,,Silver Sable
35,female,,Earth-616,Tom DeFalco; Ron Frenz,,,Mayday Parker
36,male,,,,,,Spider-Ham
37,male,,Earth-616,David Hine; Fabrice Sapolsky; Carmine Di Giandomenico; Marko Djurdjević,,,Spider-Man Noir
38,male,,Earth-616,Dan Slott; Olivier Coipel,Amazing Spider-Man,,Spider-Punk
40,male,,Earth-616,Stan Lee; Steve Ditko,Amazing Fantasy #15,1962,Spider-Man
42,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #2,1963,Tinkerer (Marvel Comics)
43,male,,Earth-616,,,,Tombstone (character)
44,male,,Earth-616,Stan Lee; Steve Ditko,Amazing Fantasy #15,1962,Uncle Ben
45,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #2,1963,Vulture (Marvel Comics)
46,male,,Earth-616,Len Wein; John Romita Sr.,,,Wolverine (character)
47,female,,,,,,Wraith (Yuri Watanabe)
48,,,Earth-616,,,,Prowler (Marvel Comics)
49,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #2,1963,Vulture (Marvel Comics)
53,male,,Earth-616,Louise Simonson,,,Alistair Smythe
56,female,,Earth-616,,,,Anne Marie Hoag
57,female,,Earth-616,David Michelinie; Mark Bagley,,,Anne Weying
58,female,,Earth-616,Fiona Avery; Mark Brooks,,,Anya Corazon
59,female,,Earth-616,Fiona Avery; Mark Brooks,,,Anya Corazon
60,female,,Earth-616,J. M. DeMatteis; Sal Buscema,,,Ashley Kafka
63,male,,Earth-616,Stan Lee; Jack Kirby,,,Batroc the Leaper
64,male,,Earth-616,Stan Lee; Jack Kirby,X-Men #1,1963,Beast (Marvel Comics)
65,,,Earth-616,Stan Lee,,,Beetle (comics)
66,male,,Earth-616,David Hine; Fabrice Sapolsky; Carmine Di Giandomenico; Marko Djurdjević,,,Spider-Man Noir
67,female,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #4,1963,Betty Brant
68,male,,Earth-616,Marv Wolfman; Ross Andru,,,Big Wheel (character)
69,male,,Earth-616,Stan Lee; Jack Kirby,,,Black Panther (character)
70,female,,Earth-616,Stan Lee; Don Rico; Don Heck,,,Black Widow (Natasha Romanova)
71,male,,Earth-616,,,,Blade (character)
72,male,,Earth-616,,X-Men #14,1965,Bolivar Trask
74,male,,Marvel Cinematic Universe,,Spider-Man: Far From Home,2019,
77,male,,Earth-616,Marv Wolfman; John Romita Sr.,,,Bullseye (Marvel Comics)
78,male,,Earth-616,Stan Lee; Steve Ditko,Amazing Fantasy #15,1962,Burglar (character)
79,female,,Earth-616,,,,Carol Danvers
80,agender,,Earth-616,David Michelinie; Ron Lim,,,Riot (comics)
82,male,,Earth-616,,,,Carrion (comics)
84,male,,Earth-616,,,,Carnage (character)
87,male,,Earth-616,Stan Lee; Jack Kirby,X-Men #1,1963,Cyclops (Marvel Comics)
91,male,,Earth-616,Rob Liefeld; Fabian Nicieza,,,Deadpool
92,male,,Earth-616,,,,Deathlok
94,male,,Earth-616,Howard Mackie; Alex Saviuk,,,Demogoblin
95,male,,Marvel Cinematic Universe,,Spider-Man: Far From Home,2019,
96,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #3,1963,Doctor Octopus
97,male,,Earth-616,Stan Lee; Steve Ditko,The Amazing Spider-Man #3,1963,Doctor Octopus
100,female,,Sony's Spider-Man Universe,,,,
101,female,,,Gerard Way,,,Peni Parker
104,male,,Earth-616,Peter David; Roger Cruz,,,El Muerto (Marvel Comics)
