work_id,target_kind,target_id,performer_id,credited_as,portrayal_type,origin,match_method
1,identity,27,1,Peter Parker / Spider-Man,live_action,work_characters,dataset
1,identity,137,2,J. Jonah Jameson,live_action,work_characters,dataset
2,identity,27,1,Peter Parker / Spider-Man,live_action,work_characters,dataset
2,identity,137,3,J. Jonah Jameson,live_action,work_characters,dataset
2,identity,192,4,Mr. White,live_action,work_characters,dataset
3,identity,137,3,J. Jonah Jameson,live_action,work_characters,dataset
3,identity,152,5,Julie Masters,live_action,work_characters,dataset
3,identity,106,6,Emily Chan,live_action,work_characters,dataset
3,identity,83,7,Charles Zeider,live_action,work_characters,dataset
4,identity,40,8,Takuya Yamashiro / Spider-Man,live_action,work_characters,dataset
4,identity,154,9,Jūzō Mamiya,live_action,work_characters,dataset
5,identity,27,10,Peter Parker / Spider-Man,live_action,work_characters,dataset
5,identity,137,11,J. Jonah Jameson,live_action,work_characters,dataset
5,identity,227,12,Robbie Robertson,live_action,work_characters,dataset
5,identity,15,13,Norman Osborn / Green Goblin,live_action,work_characters,dataset
5,identity,179,14,Mary Jane Watson,live_action,work_characters,dataset
5,identity,17,15,Harry Osborn,live_action,work_characters,dataset
5,identity,110,16,Flash Thompson,live_action,work_characters,dataset
6,identity,27,10,Peter Parker / Spider-Man,live_action,work_characters,dataset
6,identity,137,11,J. Jonah Jameson,live_action,work_characters,dataset
6,identity,179,14,Mary Jane Watson,live_action,work_characters,dataset
6,identity,17,15,Harry Osborn,live_action,work_characters,dataset
6,identity,10,17,Otto Octavius / Doctor Octopus,live_action,work_characters,dataset
6,identity,1,18,May Parker,live_action,work_characters,dataset
6,identity,231,19,Rosalie Octavius,live_action,work_characters,dataset
6,identity,150,20,John Jameson,live_action,work_characters,dataset
7,identity,27,10,Peter Parker / Spider-Man,live_action,work_characters,dataset
7,identity,137,11,J. Jonah Jameson,live_action,work_characters,dataset
7,identity,179,14,Mary Jane Watson,live_action,work_characters,dataset
7,identity,1,18,May Parker,live_action,work_characters,dataset
7,identity,29,21,Flint Marko / Sandman,live_action,work_characters,dataset
7,identity,17,15,Harry Osborn / New Goblin,live_action,work_characters,dataset
7,identity,16,22,Gwen Stacy,live_action,work_characters,dataset
7,identity,115,23,George Stacy,live_action,work_characters,dataset
8,identity,27,24,Peter Parker / Spider-Man,live_action,work_characters,dataset
8,identity,110,25,Flash Thompson,live_action,work_characters,dataset
8,identity,21,26,Curt Connors / Lizard,live_action,work_characters,dataset
8,identity,16,27,Gwen Stacy,live_action,work_characters,dataset
8,identity,115,28,George Stacy,live_action,work_characters,dataset
8,identity,222,29,Richard Parker,live_action,work_characters,dataset
8,identity,219,30,Rajit Ratha,live_action,work_characters,dataset
9,identity,27,24,Peter Parker / Spider-Man,live_action,work_characters,dataset
9,identity,16,27,Gwen Stacy,live_action,work_characters,dataset
9,identity,13,31,Max Dillon / Electro,live_action,work_characters,dataset
9,identity,17,32,Harry Osborn / Green Goblin,live_action,work_characters,dataset
9,identity,28,33,Aleksei Sytsevich / Rhino,live_action,work_characters,dataset
9,identity,98,34,Donald Menken,live_action,work_characters,dataset
10,identity,27,35,Peter Parker / Spider-Man,live_action,work_characters,dataset
10,identity,110,36,Flash Thompson,live_action,work_characters,dataset
10,identity,1,37,May Parker,live_action,work_characters,dataset
10,identity,45,38,Adrian Toomes / Vulture,live_action,work_characters,dataset
10,identity,136,39,Tony Stark / Iron Man,live_action,work_characters,dataset
10,identity,123,40,Happy Hogan,live_action,work_characters,dataset
10,identity,209,41,Pepper Potts,live_action,work_characters,dataset
10,identity,31,42,Herman Schultz / Shocker,live_action,work_characters,dataset
10,identity,56,43,Anne Marie Hoag,live_action,work_characters,dataset
11,identity,1,44,May Parker,live_action,work_characters,dataset
11,identity,25,45,Miles Morales / Spider-Man,live_action,work_characters,dataset
11,identity,210,46,Peter B. Parker / Spider-Man,live_action,work_characters,dataset
11,identity,16,47,Gwen Stacy / Spider-Gwen,live_action,work_characters,dataset
11,identity,144,48,Jefferson Davis,live_action,work_characters,dataset
11,identity,225,49,Rio Morales,live_action,work_characters,dataset
11,identity,36,50,Peter Porker / Spider-Ham,live_action,work_characters,dataset
11,identity,101,51,Peni Parker / SP//dr,live_action,work_characters,dataset
11,identity,37,52,Spider-Man Noir,live_action,work_characters,dataset
11,identity,19,53,Wilson Fisk / Kingpin,live_action,work_characters,dataset
12,identity,27,35,Peter Parker / Spider-Man,live_action,work_characters,dataset
12,identity,110,36,Flash Thompson,live_action,work_characters,dataset
12,identity,1,37,May Parker,live_action,work_characters,dataset
12,identity,123,40,Happy Hogan,live_action,work_characters,dataset
12,identity,196,54,Ned Leeds,live_action,work_characters,dataset
12,identity,26,55,Quentin Beck / Mysterio,live_action,work_characters,dataset
12,identity,198,56,Nick Fury,live_action,work_characters,dataset
12,identity,174,57,Maria Hill,live_action,work_characters,dataset
12,identity,228,58,Roger Harrington,live_action,work_characters,dataset
12,identity,153,59,Julius Dell,live_action,work_characters,dataset
13,identity,15,13,Norman Osborn / Green Goblin,live_action,work_characters,dataset
13,identity,110,36,Flash Thompson,live_action,work_characters,dataset
13,identity,10,17,Otto Octavius / Doctor Octopus,live_action,work_characters,dataset
13,identity,1,37,May Parker,live_action,work_characters,dataset
13,identity,13,31,Max Dillon / Electro,live_action,work_characters,dataset
13,identity,123,40,Happy Hogan,live_action,work_characters,dataset
13,identity,196,54,Ned Leeds,live_action,work_characters,dataset
13,identity,261,60,Wong,live_action,work_characters,dataset
14,identity,115,61,George Stacy,live_action,work_characters,dataset
14,identity,25,45,Miles Morales / Spider-Man,live_action,work_characters,dataset
14,identity,210,46,Peter B. Parker / Spider-Man,live_action,work_characters,dataset
14,identity,16,47,Gwen Stacy / Spider-Gwen,live_action,work_characters,dataset
14,identity,225,62,Rio Morales,live_action,work_characters,dataset
14,identity,184,63,Miguel O'Hara / Spider-Man 2099,live_action,work_characters,dataset
14,identity,41,64,Johnathon Ohnn / The Spot,live_action,work_characters,dataset
14,identity,38,65,Hobie Brown / Spider-Punk,live_action,work_characters,dataset
14,identity,208,66,Pavitr Prabhakar / Spider-Man India,live_action,work_characters,dataset
14,identity,145,48,Jefferson Morales,live_action,work_characters,dataset
