identity_id,relation,other_name,related_id
2,child,Darkdevil,336
3,alternate_universe_counterpart,Ultimate Black Cat,299
3,child,Felicity Hardy,345
3,partner,Puma,184
5,alternate_universe_counterpart,Captain America,64
5,alternate_universe_counterpart,Ultimate Captain America,298
5,enemy,Arnim Zola,191
5,enemy,Baron Zemo,181
5,enemy,Crossbones,375
5,enemy,Doctor Faustus,69
5,enemy,Hate-Monger,250
5,enemy,Helmut Zemo,204
5,enemy,Hydra,228
5,enemy,Korath the Pursuer,241
5,enemy,MODOK,123
5,enemy,Mister Hyde,81
5,enemy,Porcupine,19
5,enemy,Red Skull,114
5,enemy,Serpent Society,257
5,enemy,Sin,357
5,enemy,Solarr,258
5,enemy,Viper,353
6,child,Toxin,189
8,alternate_universe_counterpart,Kingpin,9
8,enemy,Bullet,215
8,enemy,Bushwacker,185
8,enemy,Death-Stalker,275
8,enemy,Eel,18
8,enemy,Enforcers,342
8,enemy,Fancy Dan,115
8,enemy,Gladiator,193
8,enemy,Jester,171
8,enemy,Mister Hyde,81
8,enemy,Montana,391
8,enemy,Nuke,439
8,enemy,Owl,117
8,enemy,Stilt-Man,306
8,enemy,The Hand,173
8,enemy,Turk Barrett,416
8,father,Jack Murdock,125
8,mother,Maggie Murdock,137
8,partner,Claire Temple,102
8,partner,Dakota North,334
8,partner,Echo,168
8,partner,Elektra,432
8,partner,Karen Page,133
8,partner,Moondragon,98
8,spouse,Milla Donovan,344
9,alternate_universe_counterpart,Doom 2099,338
9,alternate_universe_counterpart,Ultimate Doctor Doom,82
9,child,Kristoff Vernard,271
9,enemy,Beyonder,110
9,enemy,Dreadknight,226
9,enemy,Excalibur,178
9,enemy,Impossible Man,43
9,enemy,Invisible Woman,332
9,enemy,Maker,294
9,enemy,Mephisto,152
9,enemy,Squirrel Girl,310
9,enemy,The Fantastic Four,72
9,enemy,Thing,431
9,mother,Cynthia von Doom,333
9,partner,Morgan le Fay,373
9,partner,Scarlet Witch,435
11,enemy,Baron Mordo,157
11,enemy,Dormammu,116
11,enemy,Dweller-in-Darkness,339
11,enemy,Gargantos,11
11,enemy,Nightmare,73
11,enemy,Shuma-Gorath,186
11,enemy,Xandu,278
11,enemy,Zom,424
11,partner,Clea,149
12,alternate_universe_counterpart,Ultimate Venom,303
12,child,Carl Mach,210
12,child,Nam,129
12,enemy,Maker,294
12,enemy,Toxin,189
14,alternate_universe_counterpart,Cosmic Ghost Rider,3
14,child,Frank Castle Jr.,42
14,child,Lisa Barbara Castle,41
14,enemy,Barracuda,267
14,enemy,Bushwacker,185
14,enemy,Damage,100
14,enemy,Jigsaw,440
14,enemy,Ma Gnucci,103
14,enemy,Rapido,138
14,enemy,Russian,159
14,enemy,Sniper,105
14,enemy,Thorn,109
14,spouse,Maria Castle,40
15,child,Normie Osborn,395
15,partner,Menace,90
18,alternate_universe_counterpart,Maestro,386
18,alternate_universe_counterpart,Ultimate Hulk,5
18,child,Hiro-Kala,286
18,child,Lyra,288
18,child,Skaar,67
18,enemy,Abomination,361
18,enemy,Absorbing Man,162
18,enemy,Bi-Beast,211
18,enemy,Brian Banner,329
18,enemy,Gamma Corps,231
18,enemy,Gardener,238
18,enemy,Glenn Talbot,233
18,enemy,Glob,351
18,enemy,MODOK,123
18,enemy,Madman,317
18,enemy,Maestro,386
18,enemy,Mercy,389
18,enemy,Mister Hyde,81
18,enemy,One Below All,56
18,enemy,Speedfreek,259
18,enemy,The Leader,136
18,enemy,Thunderbolt Ross,95
18,enemy,Tyrannus,202
18,enemy,U-Foes,441
18,enemy,Zzzax,134
18,father,Brian Banner,329
18,mother,Rebecca Banner,88
18,spouse,Betty Ross,368
18,spouse,Caiera,35
19,child,Richard Fisk,158
19,enemy,Richard Fisk,158
19,enemy,Silvermane,166
19,enemy,Vanessa Fisk,420
19,spouse,Vanessa Fisk,420
20,alternate_universe_counterpart,Ultimate Kraven,300
20,child,Alyosha Kravinoff,379
20,child,Ana Kravinoff,107
20,child,Grim Hunter,112
20,enemy,Tigra,169
21,child,Billy Connors,293
21,spouse,Martha Connors,292
24,partner,Peter Parker,147
25,enemy,Aaron Davis,364
25,enemy,Kangaroo,240
25,enemy,Ultimate Green Goblin,319
27,alternate_universe_counterpart,Spider-Man,320
27,alternate_universe_counterpart,Ultimate Spider-Man,316
27,child,Benjamin Richard Parker,322
27,child,Felicity Hardy,345
27,enemy,Abner Jenkins,77
27,enemy,Alyosha Kravinoff,379
27,enemy,Black Tarantula,268
27,enemy,Bloodshed,328
27,enemy,Boomerang,179
27,enemy,Cletus Kasady,350
27,enemy,Doppelganger,160
27,enemy,Enforcers,342
27,enemy,Fancy Dan,115
27,enemy,Frederick Foswell,113
27,enemy,Green Goblin,403
27,enemy,Grim Hunter,112
27,enemy,Hitman,276
27,enemy,Hobgoblin,427
27,enemy,Hood,183
27,enemy,Jackal,176
27,enemy,Jonas Harrow,239
27,enemy,Man Mountain Marko,387
27,enemy,Molten Man,170
27,enemy,Montana,391
27,enemy,Ox,28
27,enemy,Phil Urich,311
27,enemy,Puma,184
