identity_id,relation,other_name,other_identity_id,other_wikidata_id
1,spouse,Uncle Ben,44,Q2299139
1,relative,Peter Parker / Spider-Man,27,Q79037
10,enemy,Peter Parker / Spider-Man,27,Q79037
10,enemy,Green Goblin / Norman Osborn,15,Q1779361
10,enemy,Gold Goblin,117,Q17090877
108,enemy,Peter Parker / Spider-Man,27,Q79037
109,enemy,Emma Frost,,Q1995969
109,enemy,Empath,,Q2364510
109,partner,Cannonball,,Q1194236
109,partner,Vance Astrovik,,Q3545872
11,enemy,Dormammu,,Q2066394
11,enemy,Baron Mordo,,Q2435970
11,enemy,Gargantos,,Q110917411
11,enemy,Xandu,,Q3570549
11,enemy,Shuma-Gorath,,Q2639507
11,enemy,Nightmare,,Q15222919
11,enemy,Dweller-in-Darkness,,Q5318067
11,enemy,Zom,,Q8073711
11,partner,Clea,,Q2404595
110,child,Felicity Hardy,,Q5441790
110,partner,Black Cat,3,Q912640
110,partner,Betty Brant,67,Q2628255
110,partner,Liz Allan,163,Q1132203
111,enemy,Doctor Doom,9,Q430178
111,enemy,Uatu,,Q615226
111,enemy,Beta Ray Bill,,Q1987662
111,enemy,Silver Surfer / Norrin Radd,202,Q95153
111,enemy,The Fantastic Four,,Q152098
111,enemy,Thanos,246,Q2276627
111,enemy,In-Betweener,,Q3029214
111,enemy,Excalibur,,Q2603976
111,child,Galacta,,Q5517781
112,enemy,Mister Sinister,,Q302534
112,enemy,Candra,,Q5032038
112,spouse,Bella Donna,,Q4883353
112,spouse,Rogue,229,Q838097
112,alternate_universe_counterpart,Ultimate Gambit,,Q48957559
115,child,Gwen Stacy,16,Q945817
116,enemy,Mephisto,,Q2418665
116,enemy,Centurious,,Q5063090
116,spouse,Roxanne Simpson,,Q7372377
116,relative,Noble Kale,,Q7045734
116,relative,Jennifer Kale,,Q6178488
117,enemy,Peter Parker / Spider-Man,27,Q79037
117,enemy,Spider-Punk,38,Q63975143
117,enemy,Sin-Eater (comics),,Q11680813
117,enemy,Doctor Octopus,10,Q578094
117,enemy,Kindred,,Q3772700
117,enemy,Phil Urich,,Q4483669
117,child,Green Goblin / Norman Osborn,15,Q1779361
117,partner,Menace,,Q1748149
117,alternate_universe_counterpart,Ultimate Green Goblin,,Q48544198
12,enemy,Carnage,6,Q1753328
12,enemy,Peter Parker / Spider-Man,27,Q79037
12,enemy,Spider-Punk,38,Q63975143
12,enemy,Toxin,,Q2657400
12,enemy,Maker,,Q39071489
