identity_id,trait,value
2,ability,superhuman strength
2,ability,superhuman speed
2,ability,healing factor
2,ability,precognition
2,ability,superhuman agility / reflexes
2,character_type,superhero
2,character_type,supervillain
2,occupation,waiter
2,occupation,teaching assistant
2,occupation,bodyguard
2,occupation,superhero
2,occupation,vigilante
2,occupation,criminal
2,occupation,scientist
2,occupation,cook
2,occupation,bartender
2,occupation,janitor
2,occupation,mechanic
2,occupation,inventor
2,occupation,school teacher
2,occupation,photographer
3,ability,probability manipulation
3,character_type,superhero
3,character_type,supervillain
3,eye_color,green
3,hair_color,white hair
3,hair_color,platinum blond hair
3,height,5.10 m
3,occupation,private investigator
3,occupation,crime boss
3,occupation,criminal
3,occupation,superhero
3,occupation,detective
3,occupation,bounty hunter
3,occupation,righteous thief
4,character_type,supervillain
5,ability,superhuman strength
5,ability,superhuman endurance
5,ability,superhuman speed
5,occupation,military personnel
6,ability,superhuman strength
6,ability,superhuman speed
6,ability,healing factor
6,ability,superhuman durability
6,ability,superhuman agility / reflexes
6,character_type,supervillain
6,height,1.85 m
6,occupation,serial killer
7,ability,shapeshifting
7,character_type,supervillain
7,occupation,actor
7,occupation,criminal
7,occupation,crime boss
7,occupation,spy
8,ability,superhuman senses
8,character_type,superhero
8,medical_condition,blindness
8,occupation,lawyer
8,occupation,superhero
8,occupation,ninja
8,occupation,martial artist
8,occupation,vigilante
8,religion,Catholicism
8,sport,karate
9,character_type,supervillain
9,eye_color,brown
9,hair_color,brown hair
9,height,1.82 m
9,occupation,ruler
9,occupation,adventurer
9,occupation,magician
10,character_type,mad scientist
10,character_type,supervillain
11,ability,spell
11,character_type,superhero
11,height,1.89 m
11,occupation,neurosurgeon
11,occupation,magician
11,occupation,Dimension Traveler
12,character_type,antihero
12,eye_color,white
12,height,1.90 m
13,ability,electrokinesis
13,character_type,supervillain
13,occupation,criminal
13,occupation,lineworker
14,character_type,antihero
14,ethnic_group,Sicilian Americans
14,occupation,military personnel
14,occupation,vigilante
14,occupation,instructor
14,occupation,soldier
14,religion,Catholicism
14,religion,lapsed Catholic
15,ability,superhuman strength
15,ability,superhuman speed
15,ability,healing factor
15,ability,superhuman durability
15,character_type,supervillain
15,occupation,businessperson
16,occupation,student
18,ability,healing factor
18,character_type,superhero
18,occupation,scientist
19,character_type,supervillain
19,occupation,businessperson
19,occupation,drug trafficker
19,occupation,crime boss
19,occupation,manager
19,occupation,criminal
20,ability,superhuman strength
20,ability,superhuman speed
20,character_type,supervillain
20,occupation,hunter
20,occupation,mercenary
21,ability,superhuman strength
21,ability,healing factor
21,ability,superhuman speed
21,character_type,supervillain
21,occupation,biologist
21,occupation,medical officer
21,religion,Catholicism
22,ability,superhuman strength
22,ability,superhuman speed
22,ability,superhuman endurance
22,ability,superhuman agility / reflexes
22,ability,superhuman durability
22,ability,healing factor
22,ability,precognition
22,ability,telepathy
22,ability,astral projection
22,ability,clairvoyance
22,character_type,superhero
22,eye_color,blue
22,hair_color,strawberry blond hair
22,occupation,government agent
22,occupation,clairvoyant
23,ability,superhuman strength
23,ability,superhuman speed
23,ability,healing factor
23,ability,superhuman agility / reflexes
23,ability,superhuman senses
23,ability,superhuman endurance
23,character_type,superhero
23,character_type,supervillain
23,occupation,biochemist
23,occupation,hematologist
24,hair_color,brown hair
25,character_type,superhero
25,ethnic_group,African Americans
25,ethnic_group,Puerto Ricans
25,eye_color,brown
25,hair_color,black hair
25,height,1.73 m
25,occupation,superhero
25,occupation,student
26,character_type,supervillain
27,ability,superhuman agility / reflexes
27,hair_color,brown hair
27,height,1.78 m
27,occupation,photographer
27,occupation,scientist
27,occupation,teacher
27,occupation,superhero
27,occupation,inventor
27,occupation,businessperson
28,ability,superhuman strength
28,ability,superhuman speed
28,ability,superhuman durability
28,character_type,supervillain
28,occupation,criminal
29,character_type,superhero
29,character_type,supervillain
29,occupation,criminal
29,occupation,superhero
30,ability,superhuman strength
30,ability,superhuman speed
30,ability,superhuman durability
30,ability,superhuman agility / reflexes
30,character_type,supervillain
30,occupation,private investigator
