id,name,alias,alignment,alignment_raw,first_comic_title,first_comic_year,identity_id
1,Peter Parker / Spider-Man,Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,23
2,J. Jonah Jameson,,neutral,neutral,Amazing Spider-Man #1 (1963),1963,136
3,Aunt May (May Parker),,hero,hero,Amazing Fantasy #15 (1962),1962,1
4,Robbie Robertson,,hero,hero,Amazing Spider-Man #51 (1967),1967,231
5,Edward Byron (Guru),,villain,villain,,,101
6,Mr. White,,villain,villain,,,195
7,Rita Conway (Glory Grant analog),,hero,hero,Amazing Spider-Man #140 (1974),1974,230
8,Julie Masters,,hero,hero,,,151
9,Emily Chan,,hero,hero,,,104
10,Charles Zeider,,villain,villain,,,81
11,Takuya Yamashiro / Spider-Man,Spider-Man,hero,hero,,,35
12,Jūzō Mamiya,,hero,hero,,,153
13,Iron Cross Army / Sea-Devil,,villain,villain,,,133
14,Norman Osborn / Green Goblin,Green Goblin,villain,villain,Amazing Spider-Man #14 (1964),1964,13
15,Mary Jane Watson,,hero,hero,Amazing Spider-Man #42 (1966),1966,179
16,Harry Osborn,Hobgoblin,neutral,neutral,Amazing Spider-Man #31 (1965),1965,15
17,Ben Parker (Uncle Ben),,hero,hero,Amazing Fantasy #15 (1962),1962,39
18,May Parker (Aunt May),,hero,hero,Amazing Fantasy #15 (1962),1962,1
19,Flash Thompson,,neutral,neutral,Amazing Fantasy #15 (1962),1962,108
20,Betty Brant,,hero,hero,Amazing Spider-Man #4 (1963),1963,63
21,Mendel Stromm,,villain,villain,Amazing Spider-Man #37 (1966),1966,183
22,Otto Octavius / Doctor Octopus,Doctor Octopus,villain,villain,Amazing Spider-Man #3 (1963),1963,9
23,May Parker,Aunt May,hero,hero,Amazing Fantasy #15 (1962),1962,1
24,Rosalie Octavius,,hero,hero,,,235
25,John Jameson,,neutral,neutral,Amazing Spider-Man #1 (1963),1963,149
26,Curt Connors / Lizard,Lizard,neutral,neutral,Amazing Spider-Man #6 (1963),1963,19
27,Flint Marko / Sandman,Sandman,villain,villain,Amazing Spider-Man #4 (1963),1963,25
28,Eddie Brock / Venom,Venom,villain,villain,Web of Spider-Man #18 (1986); ASM #300 (1988),1986,11
29,Harry Osborn / New Goblin,,neutral,neutral,Amazing Spider-Man #31 (1965),1965,15
30,Gwen Stacy,Ghost-Spider,hero,hero,Amazing Spider-Man #31 (1965),1965,14
31,George Stacy,,hero,hero,Amazing Spider-Man #56 (1968),1968,114
32,Richard Parker,,hero,hero,Amazing Spider-Man Annual #5 (1968),1968,226
33,Ben Parker / Uncle Ben,Uncle Ben,hero,hero,Amazing Fantasy #15 (1962),1962,39
34,May Parker / Aunt May,,hero,hero,Amazing Fantasy #15 (1962),1962,1
35,Rajit Ratha,,neutral,neutral,,,223
36,Max Dillon / Electro,Electro,villain,villain,Amazing Spider-Man #9 (1964),1964,12
37,Harry Osborn / Green Goblin,Green Goblin,villain,villain,Amazing Spider-Man #31 (1965) / ASM #136 (1974),1965,15
38,Aleksei Sytsevich / Rhino,Rhino,villain,villain,Amazing Spider-Man #41 (1966),1966,24
39,Norman Osborn,Green Goblin,villain,villain,Amazing Spider-Man #14 (1964),1964,13
40,Donald Menken,,villain,villain,Web of Spider-Man #2 (1985),1985,96
41,Felicia Hardy,Black Cat,neutral,neutral,Amazing Spider-Man #194 (1979),1979,3
42,Alistair Smythe,Spider-Slayer,villain,villain,Amazing Spider-Man #292 (1987),1987,48
43,Ashley Kafka,,neutral,neutral,Spectacular Spider-Man #178 (1991),1991,55
44,Gustav Fiers / The Gentleman,,villain,villain,,,119
45,Adrian Toomes / Vulture,Vulture,villain,villain,Amazing Spider-Man #2 (1963),1963,40
46,Tony Stark / Iron Man,Iron Man,hero,hero,Tales of Suspense #39 (1963),1963,135
47,Happy Hogan,,hero,hero,Tales of Suspense #45 (1963),1963,122
48,Pepper Potts,,hero,hero,Tales of Suspense #45 (1963),1963,212
49,"Michelle ""MJ"" Jones-Watson",(composite of Mary Jane Watson),hero,hero,Amazing Spider-Man #42 (1966),1966,184
50,Ned Leeds,(composite w/ Ganke Lee),hero,hero,Amazing Spider-Man #18 (1964),1964,199
51,Liz Allan,,hero,hero,Amazing Fantasy #15 (1962),1962,163
52,Aaron Davis / Prowler,Prowler,villain,villain,Amazing Spider-Man #78 (1969),1969,43
53,Herman Schultz / Shocker,Shocker,villain,villain,Amazing Spider-Man #46 (1967),1967,27
54,Anne Marie Hoag,,hero,hero,Damage Control #1 (1989),1989,51
55,Mac Gargan,Scorpion,villain,villain,Amazing Spider-Man #20 (1965),1965,26
56,Jackson Brice / Shocker,Shocker,villain,villain,Spectacular Spider-Man #49 (1980),1980,139
57,Karen (suit AI),,neutral,neutral,,,157
58,Miles Morales / Spider-Man,Spider-Man,hero,hero,Ultimate Fallout #4 (2011),2011,21
59,Peter B. Parker / Spider-Man,Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,213
60,Gwen Stacy / Spider-Gwen,Spider-Woman,hero,hero,Edge of Spider-Verse #2 (2014),2014,14
61,Jefferson Davis,,hero,hero,Ultimate Comics Spider-Man #1 (2011),2011,143
62,Rio Morales,,hero,hero,Ultimate Comics Spider-Man #1 (2011),2011,229
63,Peter Porker / Spider-Ham,Spider-Ham,hero,hero,Marvel Tails (1983),1983,32
64,Peni Parker / SP//dr,Peni Parker,hero,hero,Edge of Spider-Verse #5 (2014),2014,99
65,Spider-Man Noir,Spider-Man Noir,hero,hero,Spider-Man Noir #1 (2009),2009,33
66,Wilson Fisk / Kingpin,Kingpin,villain,villain,Amazing Spider-Man #50 (1967),1967,17
67,Olivia Octavius / Doctor Octopus,Doctor Octopus,villain,villain,Amazing Spider-Man #3 (1963),1963,95
68,Tombstone,Tombstone,villain,villain,Web of Spider-Man #36 (1988),1988,38
69,Scorpion (Mac Gargan),Scorpion,villain,villain,Amazing Spider-Man #20 (1965),1965,26
70,Mary Jane Parker,Mary Jane Watson,hero,hero,Amazing Spider-Man #42 (1966),1966,178
71,Miguel O'Hara / Spider-Man 2099,Spider-Man 2099,hero,hero,Spider-Man 2099 #1 (1992),1992,185
72,Miles' Peter Parker (blonde),Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,187
73,Quentin Beck / Mysterio,Mysterio,villain,villain,Amazing Spider-Man #13 (1964),1964,22
74,Nick Fury,Nick Fury,hero,hero,Sgt. Fury #1 (1963) (MCU version),1963,201
75,Maria Hill,,hero,hero,Marvel Spotlight #4 (1979),1979,174
76,MJ (Michelle Jones-Watson),(composite of Mary Jane Watson),hero,hero,Amazing Spider-Man #42 (1966),1966,189
77,Roger Harrington,,hero,hero,,,232
78,Julius Dell,,hero,hero,,,152
79,Talos (Skrull),Skrull,hero,hero,Fantastic Four #2 (1962) (MCU version),1962,250
80,Soren (Skrull),Skrull,hero,hero,,,243
81,William Ginter Riva,,villain,villain,,,266
82,Brad Davis,,neutral,neutral,,,70
83,Dimitri,,hero,hero,(Chameleon-inspired) Amazing Spider-Man #1 (1963),1963,93
84,Janice Lincoln,Beetle,villain,villain,Thunderbolts #111 (2007) (different version),2007,141
85,Peter Parker / Spider-Man (MCU),Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,23
86,Peter Parker / Spider-Man (Raimi-verse),Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,23
87,Peter Parker / Spider-Man (Webb-verse),Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,23
88,Stephen Strange / Doctor Strange,Doctor Strange,hero,hero,Strange Tales #110 (1963),1963,10
89,Wong,,hero,hero,Strange Tales #64 (1964) (Sorcerer Supreme),1964,267
90,Eddie Brock / Venom (SSU),Venom,neutral,neutral,Web of Spider-Man #18 (1986); ASM #300 (1988),1986,11
91,Matt Murdock / Daredevil,Daredevil,hero,hero,Daredevil #1 (1964),1964,7
