comic_id,identity_id
80,214
80,87
80,64
80,132
80,171
81,87
81,64
81,132
81,214
81,252
82,87
82,64
82,132
82,214
82,72
3,27
4,166
4,27
5,166
6,166
7,166
8,166
83,87
83,243
83,200
83,46
83,214
83,211
84,27
84,1
84,137
84,78
84,150
84,163
84,187
84,129
84,7
85,27
85,1
85,45
85,137
85,110
85,163
85,42
85,26
86,27
86,1
86,137
86,110
86,163
86,129
86,10
87,27
87,1
87,137
87,110
87,67
87,163
87,29
88,27
88,1
88,137
88,110
88,163
88,67
88,9
88,187
88,129
89,27
89,1
89,137
89,67
89,110
89,163
89,21
90,27
90,1
90,137
90,67
90,110
90,163
90,45
91,27
91,110
91,163
91,45
91,1
91,137
91,129
91,187
92,27
92,1
92,137
92,67
92,110
92,163
92,13
93,27
93,1
93,137
93,67
93,110
93,163
94,27
94,1
94,67
94,10
95,27
95,1
95,137
95,67
95,110
95,163
95,10
96,27
96,1
96,137
96,67
96,110
96,163
96,26
97,27
97,1
97,137
97,67
97,110
97,163
97,117
97,18
98,27
98,1
98,137
98,67
98,110
98,163
98,20
98,7
99,27
99,8
99,1
99,137
99,67
99,224
100,27
100,1
100,110
100,163
100,137
100,67
100,10
100,13
100,20
100,26
100,29
100,45
100,5
100,136
100,249
100,44
100,11
100,187
100,129
100,87
100,64
100,132
100,214
100,78
100,7
100,42
100,9
100,21
100,117
100,18
101,27
101,1
101,129
101,137
101,67
101,110
101,163
101,117
102,27
102,1
102,137
102,67
102,196
102,110
102,163
102,29
102,117
102,10
102,20
102,45
102,187
102,129
102,136
102,5
102,249
102,8
103,27
103,1
103,137
103,67
103,196
103,110
103,163
103,29
103,129
103,30
104,27
104,1
104,137
104,67
104,110
104,163
104,30
104,196
104,108
105,27
105,129
105,67
105,137
105,1
105,110
106,27
106,1
106,110
106,163
106,137
106,67
106,224
107,27
107,1
107,137
107,67
107,117
108,27
108,1
108,67
108,137
108,110
108,163
108,26
109,27
109,137
109,67
109,1
109,110
109,163
109,241
109,178
109,117
110,27
110,1
110,67
110,137
110,110
110,163
110,117
111,27
111,1
111,137
111,67
111,196
111,110
111,163
112,27
112,137
112,67
112,196
112,1
112,16
112,15
113,27
113,137
113,67
113,196
113,1
113,10
113,21
114,27
114,1
114,137
114,67
114,21
114,44
115,27
115,137
115,16
115,110
115,15
115,183
115,117
116,27
116,1
116,137
116,67
116,196
116,16
116,28
116,150
116,110
116,15
12,11
117,187
117,129
118,187
118,129
119,187
119,129
119,9
120,18
121,18
121,224
122,198
123,5
124,5
124,125
124,146
124,249
124,129
124,187
124,214
124,46
124,87
124,229
124,243
124,27
124,18
124,171
124,9
124,10
124,21
124,111
124,22
124,211
125,27
125,137
125,67
125,196
125,16
125,110
125,28
125,150
125,1
125,178
125,15
126,27
126,1
126,137
126,15
126,178
126,31
126,16
126,110
127,27
127,1
127,44
127,110
127,163
127,78
128,27
128,15
128,16
128,178
128,137
128,67
128,19
128,1
128,44
128,78
129,27
129,137
129,196
129,227
129,67
129,19
129,178
129,16
129,15
18,27
130,27
130,16
130,15
130,1
130,178
130,150
130,10
130,137
130,227
130,67
130,115
131,200
131,211
131,46
131,229
131,214
131,243
131,109
28,18
132,27
132,1
132,222
132,181
132,44
132,15
132,16
132,187
132,129
132,137
132,227
132,196
132,67
132,178
58,71
59,27
59,33
59,155
59,149
59,36
59,38
59,58
59,25
59,184
59,37
59,35
59,208
59,190
136,209
62,25
139,244
139,239
142,27
142,137
142,67
142,227
142,15
142,178
142,14
144,262
146,132
146,243
146,46
146,200
146,214
146,64
147,27
147,2
147,155
147,33
147,58
147,35
147,25
147,208
147,184
147,37
147,38
147,190
78,208
79,27
