comic_id,creator_id,role
80,112,author
80,158,cover_artist
80,170,cover_artist
80,112,editor
80,270,inker
80,292,letterer
80,158,penciller
81,112,author
81,158,cover_artist
81,270,cover_artist
81,112,editor
81,270,inker
81,292,letterer
81,158,penciller
82,112,author
82,158,cover_artist
82,60,cover_artist
82,292,cover_artist
82,112,editor
82,303,inker
82,200,letterer
82,158,penciller
82,305,penciller
2,148,creator
2,104,creator
3,308,author
3,212,illustrator
8,316,author
83,250,author
83,198,author
83,9,colorist
83,198,cover_artist
83,125,cover_artist
83,246,cover_artist
83,272,editor
83,125,inker
83,301,letterer
83,198,penciller
84,295,colorist
84,158,cover_artist
84,180,cover_artist
84,295,cover_artist
84,200,cover_artist
84,112,editor
84,180,inker
84,190,letterer
84,18,letterer
84,180,penciller
84,112,writer
85,180,cover_artist
85,112,editor
85,180,inker
85,18,letterer
85,200,letterer
85,180,penciller
85,112,writer
86,180,cover_artist
86,112,editor
86,180,inker
86,18,letterer
86,180,penciller
86,112,writer
87,180,cover_artist
87,112,editor
87,180,inker
87,292,letterer
87,180,penciller
87,112,writer
88,180,cover_artist
88,112,editor
88,180,inker
88,292,letterer
88,180,penciller
88,112,writer
89,180,cover_artist
89,112,editor
89,180,inker
89,200,letterer
89,180,penciller
89,112,writer
90,180,cover_artist
90,112,editor
90,180,inker
90,200,letterer
90,180,penciller
90,112,writer
91,180,cover_artist
91,112,editor
91,180,inker
91,200,letterer
91,292,letterer
91,180,penciller
91,158,penciller
91,112,writer
92,180,cover_artist
92,112,editor
92,180,inker
92,200,letterer
92,180,penciller
92,112,writer
93,180,cover_artist
93,158,cover_artist
93,112,editor
93,180,inker
93,292,letterer
93,180,penciller
93,112,writer
94,180,cover_artist
94,112,editor
94,180,inker
94,292,letterer
94,180,penciller
94,112,writer
95,180,cover_artist
95,112,editor
95,180,inker
95,200,letterer
95,180,penciller
95,112,writer
96,180,cover_artist
96,112,editor
96,180,inker
96,200,letterer
96,180,penciller
96,112,writer
97,180,cover_artist
97,112,editor
97,180,inker
97,200,letterer
97,180,penciller
97,112,writer
98,180,cover_artist
98,112,editor
98,180,inker
98,200,letterer
98,180,penciller
98,112,writer
99,180,cover_artist
99,112,editor
99,180,inker
99,292,letterer
99,180,penciller
99,112,writer
100,295,colorist
100,180,cover_artist
100,295,cover_artist
100,200,cover_artist
100,112,editor
100,180,inker
100,292,letterer
100,200,letterer
100,180,penciller
100,112,writer
100,180,writer
101,180,cover_artist
101,112,editor
101,180,inker
101,292,letterer
101,180,penciller
101,112,writer
102,180,cover_artist
102,112,editor
102,180,inker
102,292,letterer
102,180,penciller
102,112,writer
103,180,cover_artist
103,112,editor
103,180,inker
103,292,letterer
103,180,penciller
103,112,writer
104,180,cover_artist
104,295,cover_artist
104,292,cover_artist
104,112,editor
104,180,inker
104,292,letterer
104,180,penciller
104,112,writer
105,180,cover_artist
105,112,editor
105,180,inker
105,292,letterer
105,180,penciller
105,112,writer
10,72,author
106,180,cover_artist
106,112,editor
106,180,inker
106,200,letterer
106,180,penciller
106,112,writer
107,180,cover_artist
107,112,editor
107,180,inker
107,200,letterer
107,180,penciller
107,112,writer
108,180,cover_artist
108,112,editor
108,180,inker
108,292,letterer
108,180,penciller
108,112,writer
109,180,cover_artist
109,112,editor
109,180,inker
109,292,letterer
109,180,penciller
109,112,writer
110,180,cover_artist
110,112,editor
110,180,inker
110,292,letterer
110,180,penciller
110,112,writer
111,180,cover_artist
111,112,editor
111,180,inker
111,200,letterer
111,180,penciller
111,112,writer
112,180,cover_artist
112,112,editor
112,180,inker
112,292,letterer
112,180,penciller
112,112,writer
113,180,cover_artist
113,112,editor
113,180,inker
113,200,letterer
113,180,penciller
113,112,writer
114,180,cover_artist
114,292,cover_artist
114,295,cover_artist
114,112,editor
114,180,inker
114,200,letterer
114,180,penciller
114,112,writer
115,180,cover_artist
115,112,editor
115,180,inker
115,200,letterer
115,180,penciller
115,112,writer
116,91,cover_artist
116,117,cover_artist
116,292,cover_artist
116,112,editor
116,117,inker
116,91,inker
116,200,letterer
116,91,penciller
116,112,writer
12,211,colorist
12,241,colorist
12,164,colorist
12,150,inker
12,211,inker
12,180,inker
12,114,inker
12,291,inker
12,241,inker
12,164,inker
12,232,inker
12,12,letterer
12,292,letterer
12,200,letterer
12,251,letterer
12,259,letterer
12,150,penciller
12,211,penciller
12,54,penciller
12,180,penciller
12,241,penciller
12,164,penciller
12,232,penciller
12,134,penciller
12,112,writer
12,317,writer
117,112,author
117,295,colorist
117,158,cover_artist
117,152,cover_artist
117,112,editor
117,224,inker
117,209,inker
117,200,letterer
117,158,penciller
118,112,author
118,295,colorist
118,158,cover_artist
118,152,cover_artist
118,112,editor
118,224,inker
118,18,letterer
118,158,penciller
119,112,author
119,295,colorist
119,158,cover_artist
119,249,cover_artist
119,112,editor
119,249,inker
119,200,letterer
119,158,penciller
14,295,colorist
14,152,inker
14,180,inker
14,158,inker
14,270,inker
14,200,letterer
14,190,letterer
14,44,letterer
14,180,penciller
14,158,penciller
14,112,writer
120,112,author
120,158,cover_artist
120,157,cover_artist
120,112,editor
120,270,inker
120,200,letterer
120,158,penciller
121,112,author
121,158,cover_artist
121,180,cover_artist
121,112,editor
121,152,inker
121,200,letterer
121,158,penciller
122,112,author
122,158,author
122,295,colorist
122,158,cover_artist
122,112,editor
122,152,inker
122,200,letterer
122,158,penciller
123,276,author
123,158,author
123,223,author
123,276,editor
123,45,inker
