id,ref_key,title,kind,series_id,issue_number,publisher,publication_date,publication_year,cover_date,wikidata_id,wikipedia_title,origin
1,Q1115055,Strange Tales,series,,,Marvel Comics,,,,Q1115055,Strange Tales,wikidata
2,Q111550483,X-Factor,series,,,Marvel Comics,,,,Q111550483,,wikidata
3,Q111589326,"Carnage, U.S.A.",series,,,,,,,Q111589326,,wikidata
4,Q111609575,"Spider-Man, Storm, and Cage Battle Smokescreen",series,,,Marvel Comics,2005,2005,,Q111609575,,wikidata
5,Q111609719,The New Avengers: Luke Cage,series,,,Marvel Comics,2010,2010,,Q111609719,,wikidata
6,Q111609745,Avengers Origins: Luke Cage,series,,,Marvel Comics,2012,2012,,Q111609745,,wikidata
7,Q111609754,Luke Cage Noir,series,,,Marvel Comics,2009,2009,2010,Q111609754,,wikidata
8,Q111610075,Luke Cage,series,,,Marvel Comics,2017,2017,,Q111610075,,wikidata
9,Q112032159,The Amazing Spider-Man Annual,series,,,Marvel Comics,,,,Q112032159,,wikidata
10,Q1142052,Friendly Neighborhood Spider-Man,series,,,,,,,Q1142052,Friendly Neighborhood Spider-Man,wikidata
11,Q115411239,Thor,series,,,Marvel Comics,,,,Q115411239,,wikidata
12,Q115422697,Doctor Strange,series,,,Marvel Comics,,,,Q115422697,,wikidata
13,Q115424329,Fantastic Four,series,,,Marvel Comics,,,,Q115424329,,wikidata
14,Q115453642,Incredible Hulk,series,,,Marvel Comics,,,,Q115453642,,wikidata
15,Q115456059,Iron Man,series,,,Marvel Comics,,,,Q115456059,,wikidata
16,Q115460037,Captain America Comics,series,,,Timely Comics,,,,Q115460037,Captain America Comics,wikidata
17,Q115466677,Avengers,series,,,Marvel Comics,,,,Q115466677,,wikidata
18,Q1199721,Ultimate Spider-Man,series,,,Marvel Comics,,,,Q1199721,Ultimate Spider-Man,wikidata
19,Q125206647,Thor,series,,,Marvel Comics,,,,Q125206647,,wikidata
20,Q125216733,Fantastic Four,series,,,Marvel Comics,,,,Q125216733,,wikidata
21,Q125217308,Fantastic Four,series,,,Marvel Comics,,,,Q125217308,,wikidata
22,Q125217311,Fantastic Four,series,,,Marvel Comics,,,,Q125217311,,wikidata
23,Q125217339,Fantastic Four,series,,,Marvel Comics,,,,Q125217339,,wikidata
24,Q125217379,Fantastic Four,series,,,Marvel Comics,,,,Q125217379,,wikidata
25,Q125217400,Fantastic Four,series,,,Marvel Comics,,,,Q125217400,,wikidata
26,Q125217454,Incredible Hulk,series,,,Marvel Comics,,,,Q125217454,,wikidata
27,Q125217460,Incredible Hulk,series,,,Marvel Comics,,,,Q125217460,,wikidata
28,Q125217467,Incredible Hulk,series,,,Marvel Comics,,,,Q125217467,,wikidata
29,Q125241309,Uncanny X-Men,series,,,Marvel Comics,,,,Q125241309,,wikidata
30,Q125241339,Uncanny X-Men,series,,,Marvel Comics,,,,Q125241339,,wikidata
31,Q125241366,Uncanny X-Men,series,,,Marvel Comics,,,,Q125241366,,wikidata
32,Q125241414,Uncanny X-Men,series,,,Marvel Comics,,,,Q125241414,,wikidata
33,Q125252681,Amazing Spider-Man,series,,,Marvel Comics,,,,Q125252681,,wikidata
34,Q125252682,Amazing Spider-Man,series,,,Marvel Comics,,,,Q125252682,,wikidata
35,Q125252685,Amazing Spider-Man,series,,,Marvel Comics,,,,Q125252685,,wikidata
36,Q125252687,Amazing Spider-Man,series,,,Marvel Comics,,,,Q125252687,,wikidata
37,Q125252689,Amazing Spider-Man,series,,,Marvel Comics,,,,Q125252689,,wikidata
38,Q125253864,Web of Spider-Man,series,,,Marvel Comics,,,,Q125253864,,wikidata
39,Q125253869,Web of Spider-Man,series,,,Marvel Comics,,,,Q125253869,,wikidata
40,Q128384095,Ultimate Spider-Man,series,,,Marvel Comics,,,,Q128384095,Ultimate Spider-Man (2024),wikidata
41,Q128797955,Daredevil,series,,,Marvel Comics,,,,Q128797955,,wikidata
42,Q128797956,Daredevil,series,,,Marvel Comics,,,,Q128797956,,wikidata
43,Q128798978,Uncanny X-Men,series,,,Marvel Comics,,,,Q128798978,,wikidata
44,Q129261411,Spider-Woman,series,,,Marvel Comics,,,,Q129261411,,wikidata
45,Q129261607,Spider-Woman,series,,,Marvel Comics,,,,Q129261607,,wikidata
46,Q129261730,Spider-Woman,series,,,Marvel Comics,,,,Q129261730,Spider-Woman: Shifting Gears,wikidata
47,Q129261802,Spider-Girl,series,,,Marvel Comics,,,,Q129261802,,wikidata
48,Q129261808,Spider-Girl,series,,,Marvel Comics,,,,Q129261808,Spider-Girl: Family Values,wikidata
49,Q138297125,Incredible Hulk,series,,,Marvel Comics,,,,Q138297125,,wikidata
50,Q138331393,Amazing Spider-Man,series,,,Marvel Comics,,,,Q138331393,,wikidata
51,Q138333079,The Amazing Spider-Man,series,,,Marvel Comics,,,,Q138333079,,wikidata
52,Q138339453,Ultimate Spider-Man,series,,,Marvel Comics,,,,Q138339453,,wikidata
53,Q138340297,Ultimate Spider-Man,series,,,Marvel Comics,,,,Q138340297,,wikidata
54,Q139960375,"Peter Parker, The Spectacular Spider-Man",series,,,Marvel Comics,,,,Q139960375,,wikidata
55,Q139960492,The Spectacular Spider-Man,series,,,Marvel Comics,,,,Q139960492,,wikidata
56,Q139960520,The Spectacular Spider-Man,series,,,Marvel Comics,,,,Q139960520,,wikidata
57,Q1399747,Uncanny X-Men,series,,,Marvel Comics,,,,Q1399747,Uncanny X-Men,wikidata
58,Q175011,The Tomb of Dracula,series,,,Marvel Comics,,,,Q175011,The Tomb of Dracula,wikidata
59,Q17630593,Spider-Verse,series,,,Marvel Comics,,,,Q17630593,Spider-Verse,wikidata
60,Q2140112,Runaways,series,,,Marvel Comics,,,,Q2140112,Runaways (comics),wikidata
61,Q2270826,Journey into Mystery,series,,,Atlas Comics,,,,Q2270826,Journey into Mystery,wikidata
62,Q2333872,Ultimate Comics: Spider-Man,series,,,Marvel Comics,,,,Q2333872,Ultimate Comics: Spider-Man,wikidata
63,Q2597757,Marvel Noir,series,,,,,,,Q2597757,Marvel Noir,wikidata
64,Q2822366,Avengers Academy,series,,,Marvel Comics,,,,Q2822366,Avengers Academy,wikidata
65,Q3493447,Spider-Man Noir,series,,,,,,,Q3493447,,wikidata
66,Q3850391,Marvel Premiere,series,,,Marvel Comics,,,,Q3850391,Marvel Premiere,wikidata
67,Q4020703,Wolverine and the X-Men,series,,,,,,,Q4020703,Wolverine and the X-Men (comics),wikidata
68,Q4047029,Planet of the Symbiotes,series,,,,,,,Q4047029,Planet of the Symbiotes,wikidata
69,Q4049343,Sgt. Fury and his Howling Commandos,series,,,Marvel Comics,,,,Q4049343,Sgt. Fury and his Howling Commandos,wikidata
70,Q472166,Secret Wars,series,,,Marvel Comics,,,,Q472166,Secret Wars,wikidata
