show_work_id,season_number,episode_number,segment_index,title,writer,director
28,1,1,1,The Power of Dr Octopus,,
28,1,1,2,Sub-Zero for Spidey,,
28,1,2,1,Where Crawls the Lizard,,
28,1,2,2,"Electro, the Human Lightning Bolt",,
28,1,4,1,The Sky is Falling,,
28,1,4,2,Captured by J. Jonah Jameson,,
28,1,5,1,Never Step on a Scorpion,,
28,1,5,2,Sands of Crime,,
28,1,6,1,Diet of Destruction,,
28,1,6,2,The Witching Hour,,
28,1,7,1,Kilowatt Kaper,,
28,1,7,2,The Peril of Parafino,,
28,1,9,1,The One-Eyed Idol,,
28,1,9,2,Fifth Avenue Phantom,,
28,1,10,1,The Revenge of Dr Magneto,,
28,1,10,2,The Sinister Prime Minister,,
28,1,11,1,The Night of the Villains,,
28,1,11,2,Here Comes Trubble,,
28,1,12,1,Spider-Man Meets Doctor Noah Boddy,,
28,1,12,2,The Fantastic Fakir,,
28,1,13,1,Return of the Flying Dutchman,,
28,1,13,2,Farewell Performance,,
28,1,14,1,The Golden Rhino,,
28,1,14,2,Blueprint for Crime,,
28,1,15,1,The Spider and the Fly,,
28,1,15,2,The Slippery Doctor Von Schlick,,
28,1,16,1,The Vulture's Prey,,
28,1,16,2,The Dark Terrors,,
28,1,17,1,The Terrible Triumph of Dr Octopus,,
28,1,17,2,Magic Malice,,
28,1,18,1,Fountain of Terror,,
28,1,18,2,Fiddler on the Loose,,
28,1,19,1,To Catch a Spider,,
28,1,19,2,Double Identity,,
28,1,20,1,Sting of the Scorpion,,
28,1,20,2,Trick or Treachery,,
28,3,1,1,The Winged Thing,,
28,3,1,2,Conner's Reptiles,,
28,3,2,1,Trouble With Snow,,
28,3,2,2,Spider-Man vs. Desperado,,
28,3,3,1,Sky Harbor,,
28,3,3,2,The Big Brainwasher,,
28,3,4,1,The Vanishing Doctor Vespasian,,
28,3,4,2,The Scourge of the Scarf,,
28,3,5,1,Super Swami,,
28,3,5,2,The Birth of Micro Man,,
28,3,6,1,Knight Must Fall,,
28,3,6,2,The Devious Dr Dumpty,,
28,3,9,1,Rhino,,
28,3,9,2,The Madness of Mysterio,,
35,4,12,1,Hydra Attacks,Kevin Burke & Chris Doc Wyatt,Young Ki YoonJae Woo Kim
35,4,12,2,Agent Web,Kevin Burke & Chris Doc Wyatt,Young Ki YoonJae Woo Kim
37,1,1,1,Spidey to the Power of Three,Ashley Mendoza / Sib Ventress,
37,1,1,2,Panther Patience,Ashley Mendoza / Sib Ventress,
37,1,1,3,WEB-STER,Ashley Mendoza / Sib Ventress,
37,1,2,1,Superhero Hiccups,Ken Kristensen / Henry Gifford,
37,1,2,2,Lost and Found,Ken Kristensen / Henry Gifford,
37,1,2,3,S.O.S. Kitty,Ken Kristensen / Henry Gifford,
37,1,3,1,Doc Ock's Super Octopus,Kent Redeker / Henry Gifford,
37,1,3,2,Attack of the Green Giggles,Kent Redeker / Henry Gifford,
37,1,3,3,Spidey Mystery,Kent Redeker / Henry Gifford,
37,1,4,1,Bug in the System,Mark Drop / Josh Haber,
37,1,4,2,Test Your Super Strength,Mark Drop / Josh Haber,
37,1,4,3,A Helping Hulk,Mark Drop / Josh Haber,
37,1,5,1,Pecking Prankster Pigeons,Kent Redeker / Henry Gifford,
37,1,5,2,Green Thumb,Kent Redeker / Henry Gifford,
37,1,5,3,Spidey Surprise,Kent Redeker / Henry Gifford,
37,1,6,1,Mother's Day Mayhem,Kerri Grant / Josh Haber,
37,1,6,2,Not-So-Fun House,Kerri Grant / Josh Haber,
37,1,6,3,Rock-a-Bye Rhino,Kerri Grant / Josh Haber,
37,1,7,1,Camping Conundrum,Liza Palmer / Robert Vargas,
37,1,7,2,The Great Green Crime Spree,Liza Palmer / Robert Vargas,
37,1,7,3,Stop Doc Ock,Liza Palmer / Robert Vargas,
37,1,8,1,Rocket Rhino!,Mark Drop / Jonathan Hurwitz,
37,1,8,2,Trick or TRACE-E,Mark Drop / Jonathan Hurwitz,
37,1,8,3,The Spidey Team,Mark Drop / Jonathan Hurwitz,
37,1,9,1,Gob-zilla,Liza Palmer / Claudia Silver,
37,1,9,2,Speedy Spidey Delivery,Liza Palmer / Claudia Silver,
37,1,9,3,Monkeying Around,Liza Palmer / Claudia Silver,
37,1,10,1,Good Guy Gobby,Liza Palmer / Claudia Silver,
37,1,10,2,Spider Monkey,Liza Palmer / Claudia Silver,
37,1,10,3,Power Practice,Liza Palmer / Claudia Silver,
37,1,11,1,CAT-astrophe,Jonathan Hurwitz / Baljeet Rai,
37,1,11,2,Swing With a Stomp,Jonathan Hurwitz / Baljeet Rai,
37,1,11,3,Road Raging Rhino,Jonathan Hurwitz / Baljeet Rai,
37,1,12,1,A Very Spidey Christmas,Robert Vargas & Mike Kubat / Robert Vargas,
