id,show_work_id,season_number,episode_number,title,air_date,runtime_minutes,director,writer,us_viewers_millions
1,24,6,29,The Beastly Banana,,5,,,
2,25,1,1,The Deadly Dust: Part 1,1978-04-05,,Ron Satlof,Robert Janes,16.6
3,25,1,2,The Deadly Dust: Part 2,1978-04-12,,Ron Satlof,Robert Janes,
4,25,1,3,The Curse of Rava,1978-04-19,,Michael Caffey,Dick Nelson; Robert Janes,
5,25,1,4,Night of the Clones,1978-04-26,,Fernando Lamas,John W. Bloch,
6,25,1,5,Escort to Danger,1978-05-03,,Dennis Donnelly,Duke Sandefur,
7,25,2,1,The Captive Tower,1978-09-05,,Cliff Bole,Gregory S. Dinallo; Bruce Kalish; Philip John Taylor,
8,25,2,2,A Matter of State,1978-09-12,,Larry Stewart,Howard Dimsdale,
9,25,2,3,The Con Caper,1978-11-25,,Tom Blank,Brian McKay; Gregory S. Dinallo,
10,25,2,4,The Kirkwood Haunting,1978-12-30,,Don McDougall,Michael Michaelian,
11,25,2,5,Photo Finish,1979-02-07,,Tony Ganz,Howard Dimsdale,
12,25,2,6,Wolfpack,1979-02-21,,Joseph Manduke,Stephen Kandel,
13,25,2,7,The Chinese Web: Part 1,1979-07-06,,Don McDougall,Lionel E. Siegel,
14,25,2,8,The Chinese Web: Part 2,1979-07-06,,Don McDougall,Lionel E. Siegel,
15,32,1,1,Worlds Apart Part One,1999-10-02,22,,Michael Reaves,
16,32,1,2,Worlds Apart Part Two,1999-10-09,22,,Michael Reaves,
17,32,1,3,Where Evil Nests,1999-10-16,22,,Brynne Chandler Reaves,
18,32,1,4,Deadly Choices,2000-12-23,22,,Steve Perry,
19,32,1,5,Steel Cold Heart,2001-01-13,22,,Roger Slifer,
20,32,1,6,Enter the Hunter!,2001-02-03,22,,Diane Duane; Peter Morwood,
21,32,1,7,Cry Vulture,2001-02-10,22,,Larry Brody; Robert Gregory Browne,
22,32,1,8,Ill-Met by Moonlight,2001-02-17,22,,Robert Gregory Browne; Larry Brody,
23,32,1,9,Sustenance,2001-03-03,22,,Robert Gregory Browne; Larry Brody,
24,32,1,10,Matters of the Heart,2001-03-10,22,,Mark Hoffmeier; Larry Brody,
25,32,1,11,One Is the Loneliest Number,2001-03-17,22,,Robert Gregory Browne; Larry Brody,
26,32,1,12,Sins of the Fathers,2001-03-24,22,,Robert Gregory Browne; Larry Brody,
27,32,1,13,Destiny Unleashed,2001-03-31,22,,Robert Gregory Browne; Larry Brody,
28,33,1,1,Heroes & Villains,2003-08-22,22,Tim Eldred,Morgan Gendel,
29,33,1,2,Royal Scam,2003-08-15,22,Vincent Edwards,Rick Suvalle,
30,33,1,3,Law of the Jungle,2003-07-18,22,Audu Paden,Greg Johnson,
31,33,1,4,The Sword of Shikata,2003-07-11,22,Brandon Vietti,Todd Felderstein; Morgan Gendel,
32,33,1,5,Keeping Secrets,2003-07-18,22,Alan Caldwell,Marsha Griffin,
33,33,1,6,Tight Squeeze,2003-07-25,22,Vincent Edwards,Morgan Gendel,
34,33,1,7,Head Over Heels,2003-07-25,22,Brandon Vietti,Tracey Forbes,
35,33,1,8,The Party,2003-07-11,22,Audu Paden,Brian Michael Bendis; Morgan Gendel; Marsha Griffin,
36,33,1,9,Flash Memory,2003-08-29,22,Tim Eldred,Whip Lipsey; Scott Lipsey,
37,33,1,10,Spider-Man Dis-Sabled,2003-08-08,22,Alan Caldwell,Morgan Gendel; Rick Suvalle,
38,33,1,11,When Sparks Fly,2003-08-01,22,Vincent Edwards,Morgan Gendel,
39,33,1,12,"Mind Games, Part One",2003-09-05,22,Alan Caldwell; Vincent Edwards; Audu Paden,Morgan Gendel,
40,33,1,13,"Mind Games, Part Two",2003-09-12,22,Tim Eldred; Brandon Vietti,Steven Kriozere,
41,38,1,1,Amazing Fantasy,2025-01-29,,Mel Zwyer,Jeff Trammell,
42,38,1,2,The Parker Luck,2025-01-29,,Liza Singer,Charlie Neuner,
43,38,1,3,Secret Identity Crisis,2025-02-05,,Stu Livingston,Jeff Trammell,
44,38,1,4,Hitting the Big Time,2025-02-05,,Liza Singer,Charlie Neuner,
45,38,1,5,The Unicorn Unleashed!,2025-02-05,,Stu Livingston,Jeff Trammell,
46,38,1,6,Duel with the Devil,2025-02-12,,Liza Singer,Charlie Neuner,
47,38,1,7,Scorpion Rising,2025-02-12,,Stu Livingston,Raven Koné,
48,38,1,8,Tangled Web,2025-02-12,,Liza Singer,Charlie Neuner,
49,38,1,9,Hero or Menace,2025-02-19,,Liza Singer,Jeff Trammell,
50,38,1,10,If This Be My Destiny...,2025-02-19,,Stu Livingston,Charlie Neuner; Jeff Trammell,
