entity_type,entity_id,source,identifier,url
work,1,wikidata,Q1831060,https://www.wikidata.org/wiki/Q1831060
work,1,allocine,14532,
work,1,commons_category,Spider-Man and his cast,https://commons.wikimedia.org/wiki/Category:Spider-Man and his cast
work,1,filmaffinity,355227,
work,1,freebase,/m/02w7bx9,
work,1,imdb,tt0075671,https://www.imdb.com/title/tt0075671/
work,1,letterboxd,38645,https://letterboxd.com/film/38645/
work,1,omdb_ofdb,4300,
work,1,rotten_tomatoes,m/1000746-amazing_spiderman,https://www.rottentomatoes.com/m/1000746-amazing_spiderman
work,1,tmdb_movie,225914,https://www.themoviedb.org/movie/225914
work,10,wikidata,Q23010088,https://www.wikidata.org/wiki/Q23010088
work,10,allocine,209778,
work,10,apple_tv,umc.cmc.2sbgqu6gpbevxnjjhfd4ahuvn,
work,10,box_office_mojo,spiderman2017,https://www.boxofficemojo.com/title/spiderman2017/
work,10,commons_category,Spider-Man: Homecoming,https://commons.wikimedia.org/wiki/Category:Spider-Man: Homecoming
work,10,douban,107978,
work,10,eidr,10.5240/4B5E-32E4-3EE7-0C3F-C53C-J,
work,10,filmaffinity,478990,
work,10,freebase,/m/0wkgbxq,
work,10,imdb,tt2250912,https://www.imdb.com/title/tt2250912/
work,10,kinenote,84685,
work,10,kinopoisk,690593,
work,10,letterboxd,68,https://letterboxd.com/film/68/
work,10,metacritic,movie/spider-man-homecoming,https://www.metacritic.com/movie/spider-man-homecoming
work,10,movie_meter,mv60534,
work,10,netflix,80166369,
work,10,official_website,http://www.sonypictures.com/movies/spidermanhomecoming/,http://www.sonypictures.com/movies/spidermanhomecoming/
work,10,omdb_ofdb,300074,
work,10,porthu,182722,
work,10,quora,Spiderman-Homecoming-1,
work,10,rotten_tomatoes,m/spider_man_homecoming,https://www.rottentomatoes.com/m/spider_man_homecoming
work,10,swedish_film,89418,
work,10,tmdb_movie,315635,https://www.themoviedb.org/movie/315635
work,10,tv_tropes,Film/SpiderManHomecoming,
work,10,vgmdb,spider-man-homecoming,
work,10,viaf,6306150325590810090006,
work,10,youtube_trailer,SDpV07nEtuc,
work,11,wikidata,Q29588607,https://www.wikidata.org/wiki/Q29588607
work,11,allocine,233998,
work,11,apple_tv,umc.cmc.4a2ypxddplsdsahwxrc5fkz4x,
work,11,box_office_mojo,animatedspider-man,https://www.boxofficemojo.com/title/animatedspider-man/
work,11,commons_category,Spider-Man: Into the Spider-Verse,https://commons.wikimedia.org/wiki/Category:Spider-Man: Into the Spider-Verse
work,11,douban,117794,
work,11,eidr,10.5240/6250-1289-CDCA-6FFB-1A13-C,
work,11,filmaffinity,773389,
work,11,imdb,tt4633694,https://www.imdb.com/title/tt4633694/
work,11,kinenote,89743,
work,11,kinopoisk,920265,
work,11,letterboxd,33,https://letterboxd.com/film/33/
work,11,metacritic,movie/spider-man-into-the-spider-verse,https://www.metacritic.com/movie/spider-man-into-the-spider-verse
work,11,netflix,81002747,
work,11,official_website,http://www.intothespiderverse.movie,http://www.intothespiderverse.movie
work,11,omdb_ofdb,317185,
work,11,porthu,197323,
work,11,rotten_tomatoes,m/spider_man_into_the_spider_verse,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse
work,11,swedish_film,625344,
work,11,the_numbers,Spider-Man-Into-The-Spider-Verse-3D,https://www.the-numbers.com/movie/Spider-Man-Into-The-Spider-Verse-3D
work,11,tmdb_movie,324857,https://www.themoviedb.org/movie/324857
work,11,tv_tropes,WesternAnimation/SpiderManIntoTheSpiderVerse,
work,11,vgmdb,spider-man-a-new-universe,
work,11,youtube_trailer,rcqoZKW1UNo,
work,12,wikidata,Q27985819,https://www.wikidata.org/wiki/Q27985819
work,12,allocine,222291,
work,12,apple_tv,umc.cmc.1xnsjqmhn8a93iy2vgj36w3d1,
work,12,box_office_mojo,spidermanhomecoming2,https://www.boxofficemojo.com/title/spidermanhomecoming2/
work,12,commons_category,Spider-Man: Far From Home,https://commons.wikimedia.org/wiki/Category:Spider-Man: Far From Home
work,12,douban,112212,
work,12,eidr,10.5240/C0A2-80E8-E197-76D7-B852-2,
work,12,filmaffinity,978970,
work,12,imdb,tt6320628,https://www.imdb.com/title/tt6320628/
work,12,kinenote,90906,
work,12,kinopoisk,1008445,
work,12,letterboxd,4137,https://letterboxd.com/film/4137/
work,12,metacritic,movie/spider-man-far-from-home,https://www.metacritic.com/movie/spider-man-far-from-home
work,12,movie_meter,mv65910,
work,12,netflix,81055822,
work,12,official_website,https://www.sonypictures.com/movies/spidermanfarfromhome,https://www.sonypictures.com/movies/spidermanfarfromhome
work,12,omdb_ofdb,326769,
work,12,porthu,206010,
work,12,rotten_tomatoes,m/spider_man_far_from_home,https://www.rottentomatoes.com/m/spider_man_far_from_home
work,12,swedish_film,628759,
work,12,the_numbers,Spider-Man-Far-From-Home-(2019),https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)
work,12,tmdb_movie,429617,https://www.themoviedb.org/movie/429617
work,12,tv_tropes,Film/SpiderManFarFromHome,
work,12,vgmdb,spider-man-homecoming-2,
work,12,viaf,77156130850558310272,
work,12,youtube_trailer,oG7-Gc5xMio,
work,13,wikidata,Q68934496,https://www.wikidata.org/wiki/Q68934496
work,13,allocine,256880,
work,13,apple_tv,umc.cmc.2qf7xc5hds0m5jgx4roago580,
work,13,box_office_mojo,spidermanhomecoming3,https://www.boxofficemojo.com/title/spidermanhomecoming3/
work,13,commons_category,Spider-Man: No Way Home,https://commons.wikimedia.org/wiki/Category:Spider-Man: No Way Home
work,13,eidr,10.5240/78AB-C20D-C214-A5B3-734D-8,
work,13,filmaffinity,491812,
work,13,imdb,tt10872600,https://www.imdb.com/title/tt10872600/
work,13,kinenote,95691,
work,13,kinopoisk,1309570,
work,13,letterboxd,132448,https://letterboxd.com/film/132448/
work,13,metacritic,movie/spider-man-no-way-home,https://www.metacritic.com/movie/spider-man-no-way-home
work,13,official_website,https://www.marvel.com/movies/spider-man-no-way-home,https://www.marvel.com/movies/spider-man-no-way-home
work,13,omdb_ofdb,357740,
work,13,porthu,227992,
work,13,rotten_tomatoes,m/spider_man_no_way_home,https://www.rottentomatoes.com/m/spider_man_no_way_home
work,13,swedish_film,653148,
work,13,the_numbers,Spider-Man-No-Way-Home-(2021),https://www.the-numbers.com/movie/Spider-Man-No-Way-Home-(2021)
work,13,tmdb_movie,634649,https://www.themoviedb.org/movie/634649
work,13,tv_tropes,Film/SpiderManNoWayHome,
work,13,youtube_trailer,JfVOs4VSpmA,
work,14,wikidata,Q76448600,https://www.wikidata.org/wiki/Q76448600
work,14,allocine,269975,
work,14,apple_tv,umc.cmc.2zphwshxw2ejh2znevhod0u01,
work,14,commons_category,Spider-Man: Across the Spider-Verse,https://commons.wikimedia.org/wiki/Category:Spider-Man: Across the Spider-Verse
work,14,eidr,10.5240/D985-464F-513C-5B9A-77ED-O,
work,14,filmaffinity,213653,
work,14,imdb,tt9362722,https://www.imdb.com/title/tt9362722/
work,14,kinopoisk,1219177,
work,14,letterboxd,132814,https://letterboxd.com/film/132814/
work,14,metacritic,movie/spider-man-across-the-spider-verse,https://www.metacritic.com/movie/spider-man-across-the-spider-verse
work,14,movie_meter,mv75737,
work,14,official_website,https://www.sonypictures.com/movies/spidermanacrossthespiderverse,https://www.sonypictures.com/movies/spidermanacrossthespiderverse
work,14,omdb_ofdb,369655,
work,14,rotten_tomatoes,m/spider_man_across_the_spider_verse,https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse
work,14,swedish_film,682538,
work,14,the_numbers,Spider-Man-Across-the-Spider-Verse-(2022),https://www.the-numbers.com/movie/Spider-Man-Across-the-Spider-Verse-(2022)
work,14,tmdb_movie,569094,https://www.themoviedb.org/movie/569094
work,14,tv_tropes,WesternAnimation/SpiderManAcrossTheSpiderVerse,
work,14,vgmdb,119312,
work,14,youtube_trailer,lDhEW4xOJHI,
work,15,wikidata,Q110152284,https://www.wikidata.org/wiki/Q110152284
work,15,imdb,tt16360004,https://www.imdb.com/title/tt16360004/
work,15,kinopoisk,4763456,
work,15,letterboxd,331983,https://letterboxd.com/film/331983/
work,15,official_website,https://www.sonypicturesanimation.com/projects/films/spider-man-beyond-spider-verse,https://www.sonypicturesanimation.com/projects/films/spider-man-beyond-spider-verse
work,15,rotten_tomatoes,m/spider_man_beyond_the_spider_verse,https://www.rottentomatoes.com/m/spider_man_beyond_the_spider_verse
work,15,tmdb_movie,911916,https://www.themoviedb.org/movie/911916
work,16,wikidata,Q113244935,https://www.wikidata.org/wiki/Q113244935
work,16,allocine,276608,
work,16,commons_category,Spider-Man: Brand New Day,https://commons.wikimedia.org/wiki/Category:Spider-Man: Brand New Day
work,16,filmaffinity,437038,
work,16,imdb,tt22084616,https://www.imdb.com/title/tt22084616/
work,16,kinopoisk,5494049,
work,16,letterboxd,135896,https://letterboxd.com/film/135896/
work,16,metacritic,movie/spider-man-brand-new-day,https://www.metacritic.com/movie/spider-man-brand-new-day
work,16,official_website,https://spidermanbrandnewday.movie/,https://spidermanbrandnewday.movie/
work,16,rotten_tomatoes,m/spider_man_brand_new_day,https://www.rottentomatoes.com/m/spider_man_brand_new_day
work,16,swedish_film,739506,
work,16,tmdb_movie,969681,https://www.themoviedb.org/movie/969681
work,16,youtube_trailer,8TZMtslA3UY,
work,17,wikidata,Q23006268,https://www.wikidata.org/wiki/Q23006268
work,17,allocine,138473,
work,17,apple_tv,umc.cmc.167s38fbmf62skxtkiuegvn5m,
work,17,box_office_mojo,venom2018,https://www.boxofficemojo.com/title/venom2018/
work,17,commons_category,Venom (2018 film),https://commons.wikimedia.org/wiki/Category:Venom (2018 film)
work,17,eidr,10.5240/63B8-F4DD-D11B-B584-3E2D-S,
work,17,filmaffinity,122208,
work,17,imdb,tt1270797,https://www.imdb.com/title/tt1270797/
work,17,kinenote,90058,
work,17,kinopoisk,463634,
work,17,letterboxd,45,https://letterboxd.com/film/45/
work,17,metacritic,movie/venom-2018,https://www.metacritic.com/movie/venom-2018
work,17,netflix,80991034,
