id,name,description
1,Early TV films,1977-1981 CBS TV-movie compilations from The Amazing Spider-Man series
2,Toei Japanese Spider-Man,1978 Toei tokusatsu series & theatrical spin-off (Takuya Yamashiro)
3,Sam Raimi trilogy,Tobey Maguire films 2002-2007 directed by Sam Raimi
4,Marc Webb duology,Andrew Garfield films 2012-2014 directed by Marc Webb
5,MCU,Marvel Cinematic Universe - Tom Holland Spider-Man films
6,Spider-Verse,Sony Pictures Animation animated Spider-Verse films
7,Sony Spider-Man Universe (SSU),"Sony live-action spin-off films (Venom, Morbius, etc.)"
8,Insomniac Spider-Man universe,PlayStation/PC Insomniac Games Marvel's Spider-Man series (Earth-1048)
9,Standalone,Standalone / non-franchise Spider-Man media
10,LEGO Marvel crossover,LEGO Marvel games featuring Spider-Man as a major character
11,Movie tie-in,Video games directly tieing in to a Spider-Man film release
12,The Electric Company,PBS children's show that featured Spidey Super Stories
13,Spider-Man animated series lineage,TV franchise connecting 1967/1981/1994/2008/2012/2017 animated series
