id,game_work_id,platform_id,release_date,publisher,developer,metacritic_score,esrb_rating
1,39,1,1982-11,Parker Brothers,Parker Brothers,,
2,40,2,1984-12,Adventure International,Adventure International,,
3,40,3,1984-12,Adventure International,Adventure International,,
4,40,4,1984-12,Adventure International,Adventure International,,
5,40,5,1984-12,Adventure International,Adventure International,,
6,40,6,1984-12,Adventure International,Adventure International,,
7,40,7,1984-12,Adventure International,Adventure International,,
8,40,8,1984-12,Adventure International,Adventure International,,
9,40,9,1984-12,Adventure International,Adventure International,,
10,40,10,1984-12,Adventure International,Adventure International,,
11,41,6,1989,Paragon Software,Empire Software (EU) / Paragon Software (NA),,
12,41,9,1989,Paragon Software,Paragon Software,,
13,41,10,1989,Paragon Software,Empire Software,,
14,41,11,1990,Paragon Software,Empire Software,,
15,41,12,1990,Paragon Software,Empire Software,,
16,41,13,1990,Paragon Software,Empire Software,,
17,45,14,1991-08 (NA) / 1991-09 (EU),Sega,Technopop,,
18,45,15,1991-08 (NA) / 1991-10 (EU),Sega,Sega,,
19,45,16,1992-04 (EU) / 1992-05-19 (NA),Acclaim/Flying Edge,Sega,,
20,45,17,1993-11 (EU) / 1993 (NA),Sega,Sega,,
21,46,18,1991-09,Sega,Sega,,
22,48,19,1992-10,Acclaim/LJN,Bits Studios,,
23,48,15,1993,Acclaim/Flying Edge,Bits Studios,,
24,48,16,1993,Acclaim/Flying Edge,Bits Studios,,
25,49,20,1992-11 (NA) / 1993-08-19 (PAL) / 1993-12 (BR),LJN,Software Creations,,
26,49,21,1993-11 (PAL) / 1993 (NA),Flying Edge,Software Creations,,
27,49,16,1994-03 (NA),Flying Edge,Software Creations,,
28,49,22,1994,LJN,Unexpected Development,,
29,51,14,1994-09-16 (NA/EU),Acclaim/LJN,Software Creations,,
30,51,20,1994-09-16 (NA) / 1994-11-24 (EU),Acclaim/LJN,Software Creations,,
31,52,23,1995-03-17 (JP),Epoch Co.,Argent,,
32,53,20,1995-11 (NA) / 1995 (EU),Acclaim,Software Creations,,
33,53,21,1995-11 (NA) / 1995 (EU),Acclaim,Software Creations,,
34,53,24,1995-11 (NA) / 1995 (EU),Acclaim,Software Creations,,
35,54,25,1995,Acclaim/LJN,Western Technologies,,
36,54,26,1995,Acclaim/LJN,Western Technologies,,
37,55,27,1996 (NA),Sega,BlueSky Software / Zono,,
38,57,28,2000-08-30 (NA) / 2000-09-15 (UK),Activision,Neversoft,87,
39,57,29,2000-08-31 (NA) / 2000-09-15 (UK),Activision,Vicarious Visions,,
40,57,30,2000-11-21 (NA),Activision,Edge of Reality,72,
41,57,31,2001-05-01 (NA) / 2001-06-01 (EU),Activision,Treyarch (port),80,
42,57,32,2001-09-20 (NA) / 2001-09-21 (EU),Activision,LTI Gray Matter,68,
43,57,33,2002-01-24 (NA),Aspyr,Neversoft / Westlake Interactive,,
44,59,28,2001-10-18 (NA) / 2001-10-26 (EU),Activision,Vicarious Visions,74,
45,60,34,2001-09-18 (NA) / 2001-09-21 (EU) / 2002-04-26 (JP),Activision,Vicarious Visions,84,
46,61,35,2002-04-16 (NA) / 2002-06-07 (EU),Activision,Treyarch,76,
47,61,36,2002-04-16 (NA) / 2002-06-07 (EU),Activision,Treyarch,79,
48,61,37,2002-04-16 (NA) / 2002-06-07 (EU),Activision,Treyarch,76,
49,61,32,2002-04-16 (NA) / 2002-06-07 (EU),Activision,LTI Gray Matter,75,
50,61,34,2002-04-16 (NA) / 2002-06-07 (EU),Activision,Digital Eclipse,,
51,62,35,2004-06-29 (NA) / 2004-07-09 (EU),Activision,Treyarch,80,
52,62,37,2004-06-29 (NA) / 2004-07-09 (EU),Activision,Treyarch,80,
53,62,36,2004-06-29 (NA) / 2004-07-09 (EU),Activision,Treyarch,83,
54,62,32,2004-06-29 (NA) / 2004-07-09 (EU),Activision,The Fizz Factor,42,
55,62,34,2004-06-29 (NA) / 2004-07-09 (EU),Activision,Digital Eclipse,65,
56,62,38,2004-07-02 (EU) / 2004-07-06 (NA),Activision,Digital Eclipse,61,
57,62,39,2004-11-17 (NA) / 2005-03-11 (EU),Activision,Vicarious Visions,61,
58,62,40,2005-03-23 (NA) / 2005-09-01 (PAL),Activision,Vicarious Visions,67,
59,62,41,2004-08-16 (NA),Aspyr,The Fizz Factor / icculus,,
60,63,35,2005-09-22 (NA) / 2005-10-14 (EU),Activision,Treyarch,74,
61,63,36,2005-09-22 (NA) / 2005-10-14 (EU),Activision,Treyarch,77,
62,63,37,2005-09-22 (NA) / 2005-10-14 (EU),Activision,Treyarch,76,
63,63,32,2005-09-22 (NA) / 2005-10-14 (EU),Activision,Treyarch / Beenox (port),75,
64,63,39,2005-09-22 (NA) / 2005-10-14 (EU),Activision,Vicarious Visions,78,
65,63,34,2005-09-22 (NA) / 2005-10-14 (EU),Activision,Vicarious Visions,62,
66,63,42,2005-11-30 (WW),Mforma,Mforma,,
67,65,43,2007-05-04 (NA),Activision,Treyarch,63,
68,65,44,2007-05-04 (NA) / 2007-05-18 (EU) / 2007-09-20 (AU),Activision,Treyarch,60,
69,65,32,2007-05-04 (NA),Activision,Treyarch / Beenox (port),62,
70,65,35,2007-05-04 (NA),Activision,Vicarious Visions,50,
71,65,45,2007-05-04 (NA),Activision,Vicarious Visions,53,
72,65,34,2007-05-04 (NA),Activision,Vicarious Visions,68,
73,65,39,2007-05-04 (NA),Activision,Vicarious Visions,79,
74,65,40,2007-10-16 (NA) / 2007-11-02 (EU),Activision,Vicarious Visions,52,
75,66,39,2007-10-02 (NA) / 2007-10-12 (EU),Activision,Artificial Mind & Movement,55,
76,66,35,2007-10-02 (NA) / 2007-10-12 (EU),Activision,Next Level Games,62,
77,66,45,2007-10-02 (NA) / 2007-10-12 (EU),Activision,Next Level Games,59,
78,66,32,2007-10-02 (NA) / 2007-10-12 (EU),Activision,Beenox,57,
79,66,43,2007-10-02 (NA) / 2007-10-12 (EU),Activision,Next Level Games,60,
80,66,40,2007-10-02 (NA) / 2007-11-02 (EU),Activision,Artificial Mind & Movement,58,
81,67,32,2008-10-21 (NA) / 2008-10-24 (EU),Activision,Shaba Games / Aspyr (port),52,
82,67,43,2008-10-21 (NA) / 2008-10-24 (EU),Activision,Shaba Games / Treyarch,68,
83,67,44,2008-10-21 (NA) / 2008-10-24 (EU),Activision,Shaba Games / Treyarch,67,
84,67,45,2008-10-21 (NA) / 2008-10-28 (AU),Activision,Treyarch,63,
85,67,35,2008-10-21 (NA),Activision,Amaze Entertainment,69,
86,67,40,2008-10-21 (NA),Activision,Amaze Entertainment,77,
87,67,39,2008-10-21 (NA),Activision,Griptonite Games,77,
88,69,44,2010-09-07 (NA) / 2010-09-10 (EU),Activision,Beenox,74,
89,69,43,2010-09-07 (NA) / 2010-09-10 (EU),Activision,Beenox,76,
90,69,45,2010-09-07 (NA) / 2010-09-29 (AU),Activision,Beenox,75,
91,69,39,2010-09-07 (NA),Activision,Beenox / Griptonite Games,73,
92,69,32,2010-11-24 (NA) / 2010-11-26 (EU),Activision,Beenox,68,
