work_id,genre,engine,universe,notes
39,action,,,"First Spider-Man video game; climb skyscraper, defuse Green Goblin bombs"
40,graphic adventure,,Standalone,Part of the Questprobe text/graphic adventure series
41,action/fighting,,Standalone,Comic-panel storytelling crossover
42,puzzle-action,,Standalone,Home computer release
43,action platformer,,Standalone,First Game Boy Spider-Man; start of Game Boy trilogy
44,light gun/shooter,,Standalone,Spider-Man appears as supporting character
45,action platformer,,Standalone,"Released 1990 Master System/Genesis, 1992 Game Gear, 1993 Sega CD"
46,beat 'em up/platformer,,Standalone,4-player arcade cabinet
47,side-scrolling beat 'em up,,Standalone,Game Boy trilogy part 2
48,action platformer,,Standalone,First NES Spider-Man
49,action platformer,,Standalone,Crossover with the X-Men
50,action platformer,,Standalone,Game Boy trilogy part 3
51,beat 'em up,,Standalone,Based on the Maximum Carnage comic arc
52,action platformer,,Standalone,Japan-only Super Famicom release
53,beat 'em up,,Standalone,Sequel to Maximum Carnage
54,action platformer,,Standalone,Based on the 1994 animated series
55,action platformer,,Standalone,One of the last 32X releases
56,point-and-click adventure,,Standalone,PC CD-ROM point-and-click
57,action-adventure/platformer,,Standalone,First Activision-era Spider-Man
58,action platformer,,Standalone,Handheld sequel
59,action-adventure/platformer,,Standalone,Sequel to the 2000 game
60,action platformer,,Standalone,
61,action-adventure,,Movie tie-in,Tie-in to Spider-Man (2002 film)
62,open world action-adventure,,Movie tie-in,Tie-in to Spider-Man 2 (2004 film); first open-world web-swinging
63,open world action-adventure,,Standalone,Based on Ultimate Spider-Man comic; cel-shaded art
64,action beat 'em up,,Standalone,
65,open world action-adventure,,Movie tie-in,Tie-in to Spider-Man 3 (2007 film)
66,action beat 'em up,,Movie tie-in,Loosely ties to the film trilogy
67,open world action-adventure,,Standalone,Multiple endings based on red/black suit choices
68,action beat 'em up,,Standalone,Mobile title
69,action-adventure,,Standalone,"Four Spider-Men across dimensions (Amazing, Noir, 2099, Ultimate)"
70,action-adventure,,Standalone,Amazing and 2099 Spider-Men
71,open world action-adventure,,Movie tie-in,Tie-in to The Amazing Spider-Man (2012 film)
72,open world action-adventure,,Movie tie-in,Tie-in to The Amazing Spider-Man 2 (2014 film); last Activision Spider-Man game
73,endless runner,,Standalone,Mobile endless runner; shut down 2019
74,action-adventure,,LEGO Marvel crossover,Spider-Man as major playable character
75,action-adventure,,LEGO Marvel crossover,Spider-Man as major playable character
76,action-adventure/open world,Insomniac engine,Insomniac Spider-Man universe,Earth-1048; Remastered on PS5 Nov 12 2020 and Windows Aug 12 2022
77,action-adventure (DLC),,Insomniac Spider-Man universe,3-episode DLC for Marvel's Spider-Man
78,action-adventure/open world,,Insomniac Spider-Man universe,"Remaster with ray tracing, new Peter model"
79,action-adventure/open world,,Insomniac Spider-Man universe,Spin-off; PC release Nov 18 2022
80,action-adventure/open world,,Insomniac Spider-Man universe,PC release Jan 30 2025; features Venom symbiote
81,action-adventure/open world,,Insomniac Spider-Man universe,In development; internal target 2028 (per leaked roadmap); not officially released
