work_id,sub_type,studio,distributor,director,producer,runtime_minutes,mpaa_rating,notes
1,TV film,Danchuck Productions; Marvel Productions,CBS,E. W. Swackhamer,Danchuck Productions,98,,TV movie pilot for The Amazing Spider-Man series
2,TV film,Danchuck Productions; Marvel Productions,CBS,Ron Satlof,Danchuck Productions,90,,Composite of two TV episodes; later theatrically released in Europe
3,TV film,Danchuck Productions; Marvel Productions,CBS,Don McDougall,Danchuck Productions,90,,Composite of TV episodes; theatrically released in Europe
4,live-action,Toei Company,Toei Company,Kōichi Takemoto,Toei Company,74,,Theatrical spin-off of the Toei tokusatsu TV series; non-Peter-Parker lead
5,live-action,Columbia Pictures,Sony Pictures Releasing,Sam Raimi,Laura Ziskin; Ian Bryce,121,PG-13,Nominated for Best Visual Effects and Best Sound at 75th Academy Awards
6,live-action,Columbia Pictures,Sony Pictures Releasing,Sam Raimi,Laura Ziskin; Ian Bryce,127,PG-13,Won Best Visual Effects at 77th Academy Awards
7,live-action,Columbia Pictures,Sony Pictures Releasing,Sam Raimi,Laura Ziskin; Avi Arad; Grant Curtis,139,PG-13,Spider-Man 4 was cancelled in 2010
8,live-action,Columbia Pictures; Marvel Entertainment,Sony Pictures Releasing,Marc Webb,Avi Arad; Matt Tolmach; Laura Ziskin,136,PG-13,Reboot of the franchise
9,live-action,Columbia Pictures; Marvel Entertainment,Sony Pictures Releasing,Marc Webb,Avi Arad; Matt Tolmach,142,PG-13,Sequels and Sinister Six spin-off were cancelled
10,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Jon Watts,Kevin Feige; Amy Pascal,133,PG-13,First MCU Spider-Man solo film; co-production with Marvel Studios
11,animated,Sony Pictures Animation,Sony Pictures Releasing,Bob Persichetti; Peter Ramsey; Rodney Rothman,Phil Lord; Christopher Miller; Amy Pascal; Avi Arad; Christina Steinberg,117,PG,Won Best Animated Feature at 91st Academy Awards
12,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Jon Watts,Kevin Feige; Amy Pascal,129,PG-13,First Spider-Man film to gross over $1 billion
13,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Jon Watts,Kevin Feige; Amy Pascal,148,PG-13,Features Tobey Maguire and Andrew Garfield multiverse cameos
14,animated,Sony Pictures Animation,Sony Pictures Releasing,Joaquim Dos Santos; Kemp Powers; Justin K. Thompson,Phil Lord; Christopher Miller; Amy Pascal; Christina Steinberg,140,PG,First part of a two-part sequel
15,animated,Sony Pictures Animation,Sony Pictures Releasing,Bob Persichetti,Phil Lord; Christopher Miller; Amy Pascal,,,"Upcoming; release delayed, year unconfirmed"
16,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Destin Daniel Cretton,Kevin Feige; Amy Pascal,,,Announced; release date set for July 2026
17,SSU spin-off,Columbia Pictures; Marvel; Tencent,Sony Pictures Releasing,Ruben Fleischer,Avi Arad; Matt Tolmach; Amy Pascal,112,PG-13,First SSU film
18,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,Andy Serkis,Avi Arad; Matt Tolmach; Amy Pascal; Tom Hardy,97,PG-13,
19,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,Daniel Espinosa,Avi Arad; Matt Tolmach,104,PG-13,
20,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,S.J. Clarkson,Avi Arad; Lorenzo di Bonaventura,116,PG-13,
21,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,J.C. Chandor,Avi Arad; Matt Tolmach,127,R,Final film in the SSU
22,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,Kelly Marcel,Avi Arad; Matt Tolmach; Amy Pascal; Tom Hardy,109,PG-13,
23,SSU spin-off,Columbia Pictures,Sony Pictures Releasing,,,,,In development; indefinitely delayed; release date TBD
