id,name,person_id,wikidata_id,wikipedia_title
1,Nicholas Hammond,1,,
2,David White,2,,
3,Robert F. Simon,3,,
4,Robert Alda,4,,
5,Ellen Bry,5,,
6,Rosalind Chao,6,,
7,Richard Erdman,7,,
8,Shinji Tōdō,8,,
9,Noboru Nakaya,9,,
10,Tobey Maguire,10,,
11,J. K. Simmons,14,,
12,Bill Nunn,16,,
13,Willem Dafoe,11,,
14,Kirsten Dunst,12,,
15,James Franco,13,,
16,Joe Manganiello,15,,
17,Alfred Molina,17,,
18,Rosemary Harris,18,,
19,Donna Murphy,19,,
20,Daniel Gillies,20,,
21,Thomas Haden Church,21,,
22,Bryce Dallas Howard,22,,
23,James Cromwell,23,,
24,Andrew Garfield,24,,
25,Chris Zylka,29,,
26,Rhys Ifans,26,,
27,Emma Stone,25,,
28,Denis Leary,27,,
29,Campbell Scott,28,,
30,Irrfan Khan,30,,
31,Jamie Foxx,31,,
32,Dane DeHaan,32,,
33,Paul Giamatti,33,,
34,Colm Feore,34,,
35,Tom Holland,35,,
36,Tony Revolori,41,,
37,Marisa Tomei,38,,
38,Michael Keaton,36,,
39,Robert Downey Jr.,37,,
40,Jon Favreau,39,,
41,Gwyneth Paltrow,40,,
42,Bokeem Woodbine,42,,
43,Tyne Daly,43,,
44,Lily Tomlin,49,,
45,Shameik Moore,44,,
46,Jake Johnson,45,,
47,Hailee Steinfeld,46,,
48,Brian Tyree Henry,47,,
49,Luna Lauren Vélez,48,,
50,John Mulaney,50,,
51,Kimiko Glenn,51,,
52,Nicolas Cage,52,,
53,Liev Schreiber,53,,
54,Jacob Batalon,57,,
55,Jake Gyllenhaal,54,,
56,Samuel L. Jackson,55,,
57,Cobie Smulders,56,,
58,Martin Starr,58,,
59,J. B. Smoove,59,,
60,Benedict Wong,60,,
61,Shea Whigham,66,,
62,Lauren Vélez,65,,
63,Oscar Isaac,61,,
64,Jason Schwartzman,62,,
65,Daniel Kaluuya,63,,
66,Karan Soni,64,,
67,Mahershala Ali,67,,
68,Jharrel Jerome,68,,
69,Jon Bernthal,102,,
70,Michael Mando,103,,
71,Marvin Jones III,104,,
72,Mark Ruffalo,105,,
73,Tom Hardy,69,,
74,Michelle Williams,70,,
75,Riz Ahmed,71,,
76,Scott Haze,72,,
77,Jenny Slate,73,,
78,Woody Harrelson,74,,
79,Peggy Lu,75,,
80,Melora Walters,76,,
81,Naomie Harris,77,,
82,Reid Scott,78,,
83,Matt Smith,79,,
84,Adria Arjona,80,,
85,Jared Harris,81,,
86,Tyrese Gibson,82,,
87,Al Madrigal,83,,
88,Dakota Johnson,84,,
89,Tahar Rahim,85,,
90,Emma Roberts,86,,
91,Kerry Bishé,87,,
92,Mike Epps,88,,
93,José María Yazpik,89,,
94,Zosia Mamet,90,,
95,Alessandro Nivola,93,,
96,Aaron Taylor-Johnson,91,,
97,Fred Hechinger,92,,
98,Ariana DeBose,94,,
99,Christopher Abbott,95,,
100,Russell Crowe,96,,
101,Murat Seven,97,,
102,Yuri Kolokolnikov,98,,
103,Chiwetel Ejiofor,99,,
104,Andy Serkis,100,,
105,Alanna Ubach,101,,
106,Benito Antonio Martínez Ocasio,106,,
107,Danny Seagren,107,,
108,Chip Fields,108,,
109,Mitsuo Andō,109,,
110,Yukie Kagawa,110,,
111,Paul Kligman,112,,
112,Peg Dixon,113,,
113,Paul Soles,111,,
114,Len Carlson,114,,
115,William Woodson,116,,
116,Ted Schwartz,115,,
117,Brad Crandall,117,,
118,Dan Gilvezan,118,,
119,Frank Welker,119,,
120,Sara Ballantine,121,,
121,Christopher Daniel Barnes,120,,
122,Roscoe Lee Browne,122,,
123,Rino Romano,123,,
124,Brian Drummond,125,,
125,Michael Donovan,126,,
126,Richard Newman,124,,
127,Lisa Loeb,128,,
128,Neil Patrick Harris,127,,
129,Michael Clarke Duncan,129,,
130,Lacey Chabert,131,,
131,Alan Rachins,132,,
132,Josh Keaton,130,,
133,Drake Bell,133,,
134,Tom Kenny,138,,
135,Logan Miller,134,,
136,Caitlyn Taylor Love,135,,
137,Greg Cipes,136,,
138,Ogie Banks,137,,
139,Max Mittelman,142,,
140,Laura Bailey,140,,
141,Nadji Jeter,139,,
