person_id,award,result,year,for_work
105,Theatre World Award,won,1997,
105,MTV Movie Award for Best Fight,won,2013,The Avengers
105,Primetime Emmy Award for Outstanding Television Movie,won,2014,The Normal Heart
105,New York Film Critics Circle Award for Best Supporting Actor,won,2010,The Kids Are All Right
105,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,won,2020,I Know This Much Is True
105,star on Hollywood Walk of Fame,won,,
105,Lucille Lortel Award for Outstanding Lead Actor,won,1999,
105,Rose-Walters Prize,won,2015,
105,Academy Award for Best Supporting Actor,nominated,2011,The Kids Are All Right
105,Academy Award for Best Supporting Actor,nominated,2015,Foxcatcher
105,Academy Award for Best Supporting Actor,nominated,2016,Spotlight
105,Tony Award for Best Featured Actor in a Play,nominated,2006,
105,Satellite Award for Best Actor in a Musical or Comedy,nominated,2008,The Brothers Bloom
105,MTV Movie Award for Best Fight,nominated,2013,The Avengers
105,Broadcast Film Critics Association Award for Best Supporting Actor,nominated,2010,The Kids Are All Right
105,Broadcast Film Critics Association Award for Best Cast,nominated,2010,The Kids Are All Right
105,MTV Movie Award for Best Hero,nominated,2013,The Avengers
105,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,nominated,2014,The Normal Heart
105,Primetime Emmy Award for Outstanding Television Movie,nominated,2014,The Normal Heart
105,BAFTA Award for Best Actor in a Supporting Role,nominated,2011,The Kids Are All Right
105,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,nominated,2011,The Kids Are All Right
105,Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role,nominated,2011,The Kids Are All Right
105,Satellite Award for Best Actor – Motion Picture,nominated,2008,What Doesn't Kill You
105,Teen Choice Award for Choice Hissy Fit,nominated,2012,The Avengers
105,National Society of Film Critics Award for Best Actor,nominated,2000,You Can Count on Me
105,Independent Spirit Award for Best Supporting Male,nominated,2011,The Kids Are All Right
105,Independent Spirit Award for Best Male Lead,nominated,2001,You Can Count on Me
105,MTV Movie Award for Best On-Screen Duo,nominated,2013,The Avengers
105,Academy Award for Best Supporting Actor,nominated,2024,Poor Things
11,Saturn Awards,won,,
11,Donostia Award,won,2005,
11,Film Independent Spirit Awards,won,2001,
11,Satellite Awards,won,,
11,Honorary Golden Bear,won,2018,
11,Volpi Cup for Best Actor,won,2018,
11,Romics d'Oro,won,2019,
11,Academy Award for Best Supporting Actor,nominated,1987,Platoon
11,Academy Award for Best Supporting Actor,nominated,2001,Shadow of the Vampire
11,Academy Award for Best Supporting Actor,nominated,2018,The Florida Project
11,Academy Award for Best Actor,nominated,2019,At Eternity's Gate
12,Saturn Award for Best Performance by a Younger Actor,won,1995,Interview with the Vampire
12,Empire Award for Best Actress,won,2003,Spider-Man
12,Satellite Award for Best Actress – Television Series Drama,won,2016,Fargo
12,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,won,2017,Hidden Figures
12,Cannes Film Festival Award for Best Actress,won,2011,Melancholia
12,Critics' Choice Television Award for Best Movie/Miniseries Actress,won,2016,Fargo
12,MTV Movie Award for Best Breakthrough Performance,won,1995,Interview with the Vampire
12,MTV Movie Award for Best Performance,won,2003,Spider-Man
12,MTV Movie Award for Best Kiss,won,2003,Spider-Man
12,Robert Award for Best Actress in a Leading Role,won,2011,Melancholia
12,Satellite Award for Best Cast – Motion Picture,won,2017,Hidden Figures
12,Saturn Award for Best Actress,won,2012,Melancholia
12,star on Hollywood Walk of Fame,won,,
12,European Film Award for Best Actress,nominated,2011,Melancholia
12,Academy Award for Best Supporting Actress,nominated,2022,The Power of the Dog
122,Emmy Award,won,,
122,Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series,won,1986,The Cosby Show
122,Tony Award for Best Featured Actor in a Play,nominated,1992,
127,Tony Award for Best Actor in a Musical,won,2014,
127,Drama Desk Award for Outstanding Actor in a Musical,won,,
127,Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series,won,2010,Glee
127,star on Hollywood Walk of Fame,won,,
127,Drama League Award,won,,
129,Saturn Awards,won,,
129,Broadcast Film Critics Association Award for Best Supporting Actor,won,,
129,Academy Award for Best Supporting Actor,nominated,2000,The Green Mile
13,Indiana Film Journalists Association Award for Best Actor,won,2010,
13,Golden Globe Award for Best Actor – Miniseries or Television Film,won,2002,James Dean
13,Golden Shell,won,,
13,star on Hollywood Walk of Fame,won,,
13,Academy Award for Best Actor,nominated,2011,127 Hours
138,Outer Critics Circle Award,won,,
139,The Game Awards − Best Performance,nominated,2020,Spider-Man: Miles Morales
139,British Academy Games Award for Performer in a Leading Role,nominated,2021,Spider-Man: Miles Morales
14,Academy Award for Best Supporting Actor,won,2015,Whiplash
14,BAFTA Award for Best Actor in a Supporting Role,won,2015,Whiplash
14,Academy Award for Best Supporting Actor,nominated,2015,Whiplash
14,Academy Award for Best Supporting Actor,nominated,2022,Being the Ricardos
140,The Game Awards − Best Performance,won,2020,
140,British Academy Games Award for Performer in a Leading Role,won,2021,
140,The Game Awards − Best Performance,nominated,2017,Uncharted: The Lost Legacy
140,British Academy Games Award for Performer,nominated,2018,Uncharted: The Lost Legacy
140,The Game Awards − Best Performance,nominated,2019,Gears 5
140,British Academy Games Award for Performer in a Leading Role,nominated,2020,Gears 5
140,The Game Awards − Best Performance,nominated,2020,
140,British Academy Games Award for Performer in a Leading Role,nominated,2021,
152,Out100,won,2023,
152,Time 100,won,2024,
152,Academy Award for Best Actor,nominated,2024,Rustin
152,Academy Award for Best Actor,nominated,2025,Sing Sing
153,Saturn Award for Best Actor on Television,won,2015,Hannibal
154,The Game Awards − Best Performance,nominated,2025,
154,British Academy Games Award for Performer in a Supporting Role,nominated,2026,
164,star on Hollywood Walk of Fame,won,,
17,Theatre World Award,won,1996,
17,Drama League Award,won,,
17,Tony Award for Best Actor in a Play,nominated,1998,
17,Tony Award for Best Actor in a Play,nominated,2010,
17,Tony Award for Best Actor in a Musical,nominated,2004,
174,Academy Award for Best Live Action Short Film,nominated,1973,Frog Story
18,Theatre World Award,won,1953,
18,Tony Award for Best Actress in a Play,won,1966,
18,North Carolina Award for Fine Arts,won,,
18,Drama Desk Award for Outstanding Actress in a Play,won,,
18,Evening Standard Theatre Award for Best Actress,won,,
18,Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie,won,,
18,Gotham Independent Film Award for Best Ensemble Cast,won,,
18,National Board of Review Award for Best Supporting Actress,won,,
18,Academy Award for Best Supporting Actress,nominated,1995,Tom & Viv
18,Tony Award for Best Actress in a Play,nominated,1972,
18,Tony Award for Best Actress in a Play,nominated,1976,
18,Tony Award for Best Actress in a Play,nominated,1984,
18,Tony Award for Best Actress in a Play,nominated,1985,
18,Tony Award for Best Actress in a Play,nominated,1986,
18,Tony Award for Best Actress in a Play,nominated,1996,
18,Tony Award for Best Actress in a Play,nominated,2000,
18,Tony Award for Best Featured Actress in a Play,nominated,2010,
180,honorary doctor of Carnegie-Mellon University,won,2018,
180,Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,won,1990,Cheers
180,Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,won,1993,Cheers
180,star on Hollywood Walk of Fame,won,,
19,Tony Award for Best Actress in a Musical,won,1994,
19,Drama Desk Award for Outstanding Actress in a Musical,won,1994,
19,Tony Award for Best Actress in a Musical,won,1996,
19,Drama Desk Award for Outstanding Actress in a Musical,won,2004,
19,Drama Desk Award for Outstanding Actress in a Musical,won,2007,
19,Drama League Award,won,,
19,Drama Desk Award for Outstanding Actress in a Musical,nominated,1992,
