person_id,occupation
1,actor
1,television actor
1,screenwriter
1,film actor
1,stage actor
10,film actor
10,actor
10,film producer
10,television actor
10,voice actor
10,poker player
100,television actor
100,film actor
100,film director
100,actor
100,voice actor
100,stage actor
100,director
100,producer
101,model
101,singer
101,voice actor
101,film actor
101,film director
101,actor
102,actor
102,television actor
102,film actor
102,stage actor
103,actor
103,writer
103,film actor
103,television actor
104,rapper
104,actor
105,film actor
105,film director
105,film producer
105,screenwriter
105,writer
105,stage actor
105,television actor
105,actor
107,actor
107,dancer
107,marionetteist
107,puppet maker
108,actor
108,stage actor
108,television actor
108,film actor
108,television director
109,actor
11,film actor
11,voice actor
11,screenwriter
11,model
11,film producer
11,performing artist
11,stage actor
11,television presenter
11,actor
110,actor
110,singer
111,actor
111,television actor
112,actor
112,television actor
113,actor
114,voice actor
114,actor
114,voice director
114,baseball player
116,dub actor
116,stage actor
116,voice actor
118,actor
118,television actor
118,voice actor
119,voice actor
119,actor
12,actor
12,film actor
12,voice actor
12,television actor
120,actor
120,voice actor
120,singer
122,television actor
122,stage actor
122,film actor
122,voice actor
122,athletics competitor
122,actor
122,director
123,actor
123,dub actor
123,television actor
124,voice actor
124,film actor
124,television actor
124,assistant director
125,actor
125,voice actor
125,comedian
125,television actor
125,film actor
126,voice actor
126,casting director
126,actor
126,dub director
127,television actor
127,film actor
127,film director
127,musician
127,autobiographer
127,dub actor
127,singer
127,stage actor
127,magician
127,dancer
127,actor
127,voice actor
127,theatre director
127,television presenter
127,film producer
127,screenwriter
127,television producer
127,comedian
127,illusionist
127,memoirist
128,actor
128,guitarist
128,singer-songwriter
128,singer
128,composer
128,disc jockey
128,television actor
128,women's rights activist
128,voice actor
128,recording artist
128,musician
129,film actor
129,comedian
129,voice actor
129,television actor
129,actor
129,basketball player
129,bodyguard
13,actor
13,television actor
13,film actor
13,film director
13,film producer
13,playwright
13,writer
13,poet
13,film editor
13,screenwriter
13,teacher
13,television presenter
130,film actor
130,television actor
130,voice actor
130,record producer
131,film actor
131,television actor
131,stage actor
131,model
131,voice actor
131,actor
132,television actor
132,writer
132,film actor
132,voice actor
132,screenwriter
133,actor
133,singer
133,film actor
133,television actor
133,guitarist
133,voice actor
133,television producer
133,composer
133,video game actor
133,television director
133,film producer
134,musician
134,actor
134,television actor
134,film actor
134,voice actor
134,guitarist
134,film editor
134,film producer
134,television producer
134,screenwriter
134,director
135,actor
135,singer
135,television actor
135,film actor
136,singer
136,film producer
136,composer
136,screenwriter
136,voice actor
136,surfer
136,dub actor
136,actor
137,actor
137,stage actor
137,television actor
137,voice actor
138,voice actor
138,comedian
138,screenwriter
138,television actor
138,singer
138,actor
138,film actor
138,dub actor
138,writer
139,actor
139,television actor
139,film actor
14,film actor
14,voice actor
14,character actor
14,stage actor
14,television actor
14,actor
14,musician
140,voice actor
141,actor
142,voice actor
144,actor
145,actor
145,voice actor
147,voice actor
147,television actor
147,actor
147,film actor
148,television actor
148,film actor
148,actor
148,voice actor
148,child actor
148,musician
149,voice actor
149,actor
149,television actor
149,film actor
15,television director
15,television producer
15,stage actor
15,film actor
15,television actor
15,actor
15,screenwriter
15,film producer
15,stunt performer
15,professional fitness coach
151,actor
151,film producer
151,television actor
151,film actor
152,singer
152,television actor
152,stage actor
