id,name
1,Atari 2600
2,Acorn Electron
3,Apple II
4,Atari 8-bit
5,BBC Micro
6,Commodore 64
7,Commodore 16
8,Dragon 32
9,MS-DOS
10,ZX Spectrum
11,Amiga
12,Atari ST
13,Amstrad CPC
14,Sega Genesis/Mega Drive
15,Master System
16,Game Gear
17,Sega CD
18,Arcade (Sega System 32)
19,NES
20,Super NES
21,Mega Drive/Genesis
22,Game Boy
23,Super Famicom
24,PC (Windows)
25,Sega Genesis
26,Super Nintendo Entertainment System
27,Sega 32X
28,PlayStation
29,Game Boy Color
30,Nintendo 64
31,Dreamcast
32,Windows
33,Mac OS
34,Game Boy Advance
35,PlayStation 2
36,Xbox
37,GameCube
38,N-Gage
39,Nintendo DS
40,PlayStation Portable
41,Mac OS X
42,Mobile phone
43,Xbox 360
44,PlayStation 3
45,Wii
46,Nintendo 3DS
47,Wii U (Ultimate Edition)
48,PlayStation Vita
49,Android
50,iOS
51,Windows Phone
52,PlayStation 4
53,Xbox One
54,Wii U
55,OS X
56,Nintendo Switch
57,iOS (Universe in Peril)
58,Android (Universe in Peril)
59,macOS
60,PlayStation 5 (Remastered)
61,Windows (Remastered)
62,PlayStation 5
63,PlayStation 4 (The Heist)
64,PlayStation 4 (Turf Wars)
65,PlayStation 4 (Silver Lining)
66,Microsoft Windows
