related_id,relation,other_name,other_identity_id,other_related_id
1,partner,Storm (Ororo Munroe),243,
1,partner,Mystique,,404
2,partner,Scarlet Witch,,435
2,partner,Captain Marvel / Carol Danvers,79,
3,alternate_universe_counterpart,Frank Castle / The Punisher,14,
4,enemy,X-Men,,57
4,spouse,Mystique,,404
4,child,Rogue,229,
4,child,Nightcrawler (DS),200,
4,partner,Mystique,,404
5,alternate_universe_counterpart,Hulk,18,
5,alternate_universe_counterpart,Maestro,,386
6,enemy,Black Panther / T'Challa,69,
7,alternate_universe_counterpart,Patrick Mulligan / Toxin,207,
8,father,Wolverine,46,
9,enemy,Jessica Drew / Spider-Woman,149,
9,alternate_universe_counterpart,Daredevil,8,
10,enemy,Peter Parker,,445
11,enemy,Namor the Sub-Mariner,194,
11,enemy,Doctor Strange,11,
11,enemy,Wong,261,
12,spouse,J. Jonah Jameson,137,
13,spouse,David Munroe,,22
13,child,Storm (Ororo Munroe),243,
14,spouse,Sharon Xavier,,15
14,child,Professor X,214,
14,child,Cassandra Nova,,428
15,spouse,Brian Xavier,,14
15,child,Professor X,214,
15,child,Cassandra Nova,,428
16,spouse,Edna McCoy,,17
16,child,Beast (Hank McCoy),64,
17,spouse,Norton McCoy,,16
17,child,Beast (Hank McCoy),64,
18,enemy,Daredevil,8,
19,enemy,Captain America,5,
20,spouse,Madeline Drake,,21
20,child,Iceman,132,
21,spouse,William Drake,,20
21,child,Iceman,132,
22,spouse,N'Dare,,13
22,child,Storm (Ororo Munroe),243,
23,child,Star-Lord / Peter Quill,211,
24,child,Star-Lord / Peter Quill,211,
25,enemy,Black Widow / Natasha Romanova,70,
25,spouse,Black Widow / Natasha Romanova,70,
26,child,Betty Brant,67,
27,enemy,Peter Parker / Spider-Man,27,
28,enemy,Peter Parker / Spider-Man,27,
30,child,Liz Allan,163,
31,alternate_universe_counterpart,Star-Lord / Peter Quill,211,
31,alternate_universe_counterpart,Ultimate Kitty Pryde,,326
31,alternate_universe_counterpart,Colleen,,39
32,alternate_universe_counterpart,Wolverine,46,
32,alternate_universe_counterpart,Ultimate Wolverine,,419
32,alternate_universe_counterpart,Old Man Logan,,337
33,alternate_universe_counterpart,Magneto,171,
34,alternate_universe_counterpart,Storm (Ororo Munroe),243,
34,alternate_universe_counterpart,Ultimate Storm,,301
35,spouse,Hulk,18,
35,child,Skaar,,67
35,child,Hiro-Kala,,286
36,enemy,Blade,71,
36,enemy,Apocalypse,,119
36,spouse,Shiklah,,106
37,partner,Star-Lord / Peter Quill,211,
38,alternate_universe_counterpart,Thor,249,
39,alternate_universe_counterpart,Star-Lord / Peter Quill,211,
39,alternate_universe_counterpart,Ultimate Kitty Pryde,,326
39,alternate_universe_counterpart,Kate Pryde,,31
40,spouse,Frank Castle / The Punisher,14,
40,child,Lisa Barbara Castle,,41
40,child,Frank Castle Jr.,,42
41,mother,Maria Castle,,40
41,father,Frank Castle / The Punisher,14,
42,mother,Maria Castle,,40
42,father,Frank Castle / The Punisher,14,
43,enemy,Doctor Doom,9,
44,child,Namor the Sub-Mariner,194,
45,mother,Jessica Jones,,128
45,father,Luke Cage,166,
46,enemy,Black Panther / T'Challa,69,
47,enemy,Peter Parker / Spider-Man,27,
47,enemy,Gold Goblin,117,
48,spouse,Marie Danvers,,49
48,child,Captain Marvel / Carol Danvers,79,
49,spouse,Joe Danvers,,48
49,child,Captain Marvel / Carol Danvers,79,
50,alternate_universe_counterpart,Professor X,214,
51,alternate_universe_counterpart,Nightcrawler (DS),200,
52,partner,Firestar,109,
54,enemy,Thanos,246,
54,father,Mar-Vell,,433
55,alternate_universe_counterpart,Patrick Mulligan / Toxin,207,
56,enemy,Hulk,18,
57,enemy,William Stryker,,174
57,enemy,Magneto,171,
57,enemy,Kenuichio Harada,,397
57,enemy,Bolivar Trask,72,
57,enemy,Vulcan,,175
57,enemy,Thanos,246,
57,enemy,Apocalypse,,119
57,enemy,Vanisher,252,
57,enemy,Destiny,,4
57,enemy,Ajax,,313
57,enemy,Mystique,,404
57,enemy,Mister Sinister,,220
57,enemy,Shadow King,,75
57,enemy,Sabretooth,,308
57,enemy,Juggernaut,,426
58,alternate_universe_counterpart,Cyclops (Scott Summers),87,
58,alternate_universe_counterpart,Ultimate Cyclops,,297
59,spouse,Mentor,,436
59,child,Thanos,246,
59,child,Starfox,,132
60,enemy,Surtur,,244
60,spouse,Frigga,,230
60,child,Thor,249,
60,child,Loki,164,
61,mother,Lilandra Neramani,,167
61,father,Professor X,214,
62,alternate_universe_counterpart,Iron Man / Tony Stark,136,
62,alternate_universe_counterpart,Ultimate Iron Man,,209
63,alternate_universe_counterpart,Mister Fantastic / Reed Richards,187,
63,alternate_universe_counterpart,Maker,,294
64,alternate_universe_counterpart,Captain America,5,
64,alternate_universe_counterpart,Ultimate Captain America,,298
65,alternate_universe_counterpart,Thor,249,
65,alternate_universe_counterpart,King Thor,,38
66,enemy,Captain Marvel / Carol Danvers,79,
67,mother,Caiera,,35
67,father,Hulk,18,
68,enemy,Magneto,171,
69,enemy,Captain America,5,
70,child,Tyler Stone,,417
71,alternate_universe_counterpart,Namor the Sub-Mariner,194,
72,enemy,Doctor Doom,9,
72,enemy,Galactus,111,
72,enemy,Thanos,246,
72,enemy,Ultron,,164
72,enemy,Wizard,,406
72,enemy,Terrax,,104
73,enemy,Excalibur,,178
73,enemy,Doctor Strange,11,
74,spouse,Corsair,,144
74,child,Cyclops (Scott Summers),87,
74,child,Vulcan,,175
75,enemy,Storm (Ororo Munroe),243,
75,enemy,X-Men,,57
75,enemy,Professor X,214,
76,mother,Gabrielle Haller,,348
76,father,Professor X,214,
77,enemy,Peter Parker / Spider-Man,27,
77,enemy,Human Torch,129,
78,mother,Rogue,229,
78,father,Magneto,171,
79,enemy,Wolverine,46,
79,enemy,Sabretooth,,308
80,enemy,Hawkeye,125,
81,enemy,Thor,249,
81,enemy,Captain America,5,
81,enemy,Daredevil,8,
81,enemy,Hulk,18,
82,enemy,Maker,,294
82,alternate_universe_counterpart,Doctor Doom,9,
82,alternate_universe_counterpart,Doom 2099,,338
83,alternate_universe_counterpart,Hawkeye,125,
84,spouse,Loki,164,
85,enemy,Iron Fist,135,
86,enemy,Spider-Punk,38,
88,spouse,Brian Banner,,329
