id,wikidata_id,name,description,wikipedia_title,entity_type,gender,publisher,narrative_universe,first_appearance,creators
1,Q1002884,Forge,fictional character in Marvel Comics,Forge (character),mutant; animated character; comics character,male,,Earth-616,Uncanny X-Men #184,Chris Claremont; John Romita Jr.
2,Q1041907,Wonder Man,fictional character in Marvel Comics,Wonder Man,mutate,male,,Earth-616,,Stan Lee; Jack Kirby
3,Q104833057,Cosmic Ghost Rider,Marvel Comics character,Cosmic Ghost Rider,comics character,male,,,,
4,Q1051111,Destiny,fictional character in Marvel Comics,Destiny (Irene Adler),mutant; animated character; comics character,female,,Earth-616,X-Men #141,Chris Claremont; John Byrne
5,Q105605035,Ultimate Hulk,comics character,Hulk (Ultimate Marvel character),comics character,male,,Earth-1610,,
6,Q106670105,Baron Macabre,comics character,Baron Macabre,comics character,,,,,Don McGregor; Gil Kane
7,Q108923148,Venom,fictional character in Sony's Spider-Man Universe,Venom (Sony's Spider-Man Universe),film character; Symbiote; CGI character; fictional human,agender,,Sony's Spider-Man Universe,,
8,Q110147974,Gabby Kinney,fictional character in Marvel Comics,Gabby Kinney,mutant; fictional clone; comics character,female,,Earth-616,,
9,Q110486878,Kingpin,Marvel Comics character,Kingpin (Matt Murdock),comics character,male,,,,
10,Q110871130,Max Dillon,film character,Max Dillon (film character),fictional human; mutate; film character; video game character,male,,Earth-120703,,
11,Q110917411,Gargantos,Marvel Comics Character,,comics character,,,,,
12,Q111301136,Marla Madison,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,,Len Wein; Ross Andru
13,Q111309715,N'Dare,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #96,
14,Q111328111,Brian Xavier,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #12,Stan Lee; Jack Kirby; Alex Toth
15,Q111328112,Sharon Xavier,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #12,Stan Lee; Jack Kirby; Alex Toth
16,Q111333247,Norton McCoy,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #15,
17,Q111333248,Edna McCoy,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #15,
18,Q111342150,Eel,"fictional character in Marvel Comics, introduced in 1983",,fictional human; comics character,male,,Earth-616,,Kurt Busiek; Denys Cowan
19,Q111342207,Porcupine,"fictional character in Marvel Comics, introduced in 1963",,fictional human; comics character,male,,Earth-616,,Stan Lee; Ernie Hart; Don Heck
20,Q111376777,William Drake,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #44,Gary Friedrich; George Tuska; John Verpoorten
21,Q111376791,Madeline Drake,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #44,Gary Friedrich; George Tuska; John Verpoorten
22,Q111449140,David Munroe,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #102,Chris Claremont; Dave Cockrum
23,Q111658696,Carmen Pryde,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,X-Men #129,Chris Claremont; John Byrne
24,Q111658697,Terri Pryde,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,X-Men #129,Chris Claremont; John Byrne
25,Q111722753,Red Guardian,"fictional character in Marvel Comics, introduced in 1967",,fictional human; comics character,male,,Earth-616,,Roy Thomas; John Buscema
26,Q111795149,Eleonore Brant,fictional character in Marvel Comics,,fictional human; comics character,female,,Earth-616,The Amazing Spider-Man #2,Stan Lee; Steve Ditko
27,Q111910187,Ox,"fictional character in Marvel Comics, introduced in 1963",,mutate; comics character,male,,Earth-616,The Amazing Spider-Man #10,Stan Lee; Steve Ditko
28,Q111910188,Ox,"fictional character in Marvel Comics, introduced in 1978",,fictional human; comics character,male,,Earth-616,,Bill Mantlo; Sal Buscema
29,Q111951332,Spider-Man,Toei's Spider-Man character,Spider-Man (Takuya Yamashiro),television character,male,,,,
30,Q112042766,Wilson Allan,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,The Amazing Spider-Man #17,Stan Lee; Steve Ditko
31,Q112110359,Kate Pryde,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,female,,Earth-811,X-Men #141,Chris Claremont; John Byrne
32,Q112110379,Wolverine,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,male,,Earth-811,X-Men #141,Chris Claremont; John Byrne
33,Q112110384,Magneto,fictional character from Marvel Comics's Days of Future Past timeline,,mutant; comics character,male,,Earth-811,X-Men #141,Chris Claremont; John Byrne
