work_id,source,publication,platform_scope,score,max_score,score_pct,review_count
22,Rotten Tomatoes (critic),Rotten Tomatoes,critic,40.0,100.0,40.0,219
22,Metacritic (critic),Metacritic,critic,41.0,100.0,41.0,47
32,Rotten Tomatoes,Rotten Tomatoes,,50.0,100.0,50.0,
45,Hyper (Sega CD),Hyper,Sega CD,73.0,100.0,73.0,
49,GameRankings (SNES),GameRankings,SNES,70.17,100.0,70.17,
51,GameRankings (SNES),GameRankings,SNES,66.33,100.0,66.33,
51,GameRankings (Genesis),GameRankings,Genesis,80.0,100.0,80.0,
52,Famicom Tsūshin,Famicom Tsūshin,,21.0,40.0,52.5,
53,GameRankings (SNES),GameRankings,SNES,61.5,100.0,61.5,
53,GameRankings (GEN),GameRankings,GEN,35.85,100.0,35.85,
53,Electronic Gaming Monthly (GEN),Electronic Gaming Monthly,GEN,4.75,10.0,47.5,
53,Next Generation (GEN/SNES),Next Generation,GEN/SNES,2.0,5.0,40.0,
53,Next Generation (PC),Next Generation,PC,1.0,5.0,20.0,
54,Next Generation (SNES),Next Generation,SNES,2.0,5.0,40.0,
54,Electronic Gaming Monthly (Genesis),Electronic Gaming Monthly,Genesis,4.25,10.0,42.5,
54,Next Generation (Genesis),Next Generation,Genesis,1.0,5.0,20.0,
55,Game Informer,Game Informer,,5.0,10.0,50.0,
55,Game Players,Game Players,,36.0,100.0,36.0,
57,Metacritic (PS),Metacritic,PS,87.0,100.0,87.0,
57,Metacritic (N64),Metacritic,N64,72.0,100.0,72.0,
57,Metacritic (DC),Metacritic,DC,80.0,100.0,80.0,
57,Metacritic (PC),Metacritic,PC,68.0,100.0,68.0,
57,GameRankings (PS),GameRankings,PS,86.53,100.0,86.53,
57,GameRankings (N64),GameRankings,N64,82.52,100.0,82.52,
57,GameRankings (DC),GameRankings,DC,80.23,100.0,80.23,
57,GameRankings (PC),GameRankings,PC,67.96,100.0,67.96,
57,GameRankings (GBC),GameRankings,GBC,66.91,100.0,66.91,
57,IGN (PS),IGN,PS,9.0,10.0,90.0,
57,IGN (DC),IGN,DC,8.4,10.0,84.0,
57,IGN (N64),IGN,N64,8.5,10.0,85.0,
57,IGN (GBC),IGN,GBC,9.0,10.0,90.0,
57,IGN (PC),IGN,PC,6.0,10.0,60.0,
57,GameSpot (PS),GameSpot,PS,7.7,10.0,77.0,
57,GameSpot (N64),GameSpot,N64,7.8,10.0,78.0,
57,GameSpot (DC),GameSpot,DC,7.2,10.0,72.0,
57,GameSpot (GBC),GameSpot,GBC,6.5,10.0,65.0,
57,GameSpot (PC),GameSpot,PC,6.6,10.0,66.0,
59,Metacritic,Metacritic,,74.0,100.0,74.0,
59,Electronic Gaming Monthly,Electronic Gaming Monthly,,5.83,10.0,58.3,
59,Eurogamer,Eurogamer,,4.0,10.0,40.0,
59,Famitsu,Famitsu,,27.0,40.0,67.5,
59,Game Informer,Game Informer,,8.5,10.0,85.0,
59,GamePro,GamePro,,4.0,5.0,80.0,
59,GameSpot,GameSpot,,7.1,10.0,71.0,
59,IGN,IGN,,5.5,10.0,55.0,
59,Next Generation,Next Generation,,3.0,5.0,60.0,
59,Official U.S. PlayStation Magazine,Official U.S. PlayStation Magazine,,3.5,10.0,35.0,
59,Maxim,Maxim,,8.0,10.0,80.0,
60,Metacritic,Metacritic,,84.0,100.0,84.0,
60,Electronic Gaming Monthly,Electronic Gaming Monthly,,6.0,10.0,60.0,
60,Famitsu,Famitsu,,28.0,40.0,70.0,
60,Game Informer,Game Informer,,7.5,10.0,75.0,
60,GamePro,GamePro,,4.5,5.0,90.0,
60,GameSpot,GameSpot,,8.5,10.0,85.0,
60,GameSpy,GameSpy,,89.0,100.0,89.0,
60,GameZone,GameZone,,7.8,10.0,78.0,
60,IGN,IGN,,8.5,10.0,85.0,
60,Nintendo Power,Nintendo Power,,4.5,10.0,45.0,
60,Nintendo World Report,Nintendo World Report,,9.0,10.0,90.0,
61,Metacritic (PS2),Metacritic,PS2,76.0,100.0,76.0,
61,Metacritic (Xbox),Metacritic,Xbox,79.0,100.0,79.0,
61,Metacritic (GC),Metacritic,GC,76.0,100.0,76.0,
61,Metacritic (PC),Metacritic,PC,75.0,100.0,75.0,
