id,work_id,type,title,composer_or_performer,release_date,chart_peak_us,chart_peak_uk
1,1,score,,Johnnie Spence,,,
2,3,score,,Dana Kaproff,,,
3,4,score,,Michiaki Watanabe,,,
4,5,score,,Danny Elfman,,,
5,5,song,Hero,Chad Kroeger ft. Josey Scott,,3,
6,6,score,,Danny Elfman,,,
7,6,song,Vindicated,Dashboard Confessional,,,
8,6,song,We Are,Ana Johnsson,,,
9,7,score,,Christopher Young,,,
10,8,score,,James Horner,,,
11,9,score,,Hans Zimmer & The Magnificent Six,,,
12,9,song,It's On Again,Alicia Keys ft. Kendrick Lamar,,,
13,10,score,,Michael Giacchino,,,
14,11,score,,Daniel Pemberton,,,
15,11,song,Sunflower,Post Malone & Swae Lee,,1,
16,12,score,,Michael Giacchino,,,
17,13,score,,Michael Giacchino,,,
18,14,score,,Daniel Pemberton,,,
19,14,song,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne",,,
20,14,song,Calling,"Metro Boomin, Swae Lee, Nav",,,
21,14,song,Hummingbird,"Metro Boomin, James Blake",,,
22,14,song,Self Love,"Metro Boomin, Coi Leray",,,
23,14,song,Home,"Metro Boomin, Don Toliver, Lil Uzi Vert",,,
24,17,score,,Ludwig Göransson,,,
25,17,song,Venom,Eminem,,50,
26,18,score,,Marco Beltrami,,,
27,18,song,Last One Standing,"Skylar Grey, Polo G, Mozzy, Eminem",,,
28,19,score,,Jon Ekstrand,,,
29,20,score,,Johan Söderqvist,,,
30,21,score,,"Benjamin Wallfisch, Evgueni & Sacha Galperine",,,
31,21,song,The Man Comes Around,Johnny Cash,,,
32,22,score,,Dan Deacon,,,
