work_id,title,release_year,release_date,media_type,franchise,notes,movie_sub_type,movie_studio,movie_distributor,movie_director,movie_producer,movie_runtime_minutes,movie_mpaa_rating,movie_notes,tv_sub_type,tv_format,tv_network,tv_start_year,tv_end_year,tv_seasons,tv_episodes,tv_head_writer,tv_voice_actor_spider_man,tv_status,game_genre,game_engine,game_universe,game_notes,studios,platforms,n_characters,n_cast_crew,top_billed_actor,n_review_scores,avg_review_pct,n_awards,n_awards_won,production_budget_usd,lifetime_worldwide_usd,lifetime_domestic_usd,opening_week_domestic_usd
81,Marvel's Spider-Man 3,,,game,Insomniac Spider-Man universe,In development; internal target 2028 (per leaked roadmap); not officially released,,,,,,,,,,,,,,,,,,,action-adventure/open world,,Insomniac Spider-Man universe,In development; internal target 2028 (per leaked roadmap); not officially released,Insomniac Games; Sony Interactive Entertainment,PlayStation 5,2,0,,0,,0,0,,,,
39,Spider-Man (1982 video game),1982,,game,Standalone,"First Spider-Man video game; climb skyscraper, defuse Green Goblin bombs",,,,,,,,,,,,,,,,,,,action,,,"First Spider-Man video game; climb skyscraper, defuse Green Goblin bombs",Parker Brothers,Atari 2600,2,1,,0,,0,0,,,,
40,Questprobe featuring Spider-Man,1984,,game,Standalone,Part of the Questprobe text/graphic adventure series,,,,,,,,,,,,,,,,,,,graphic adventure,,Standalone,Part of the Questprobe text/graphic adventure series,Adventure International,Acorn Electron; Apple II; Atari 8-bit; BBC Micro; Commodore 16; Commodore 64; Dragon 32; MS-DOS; ZX Spectrum,6,3,,0,,0,0,,,,
41,The Amazing Spider-Man and Captain America in Dr. Doom's Revenge!,1989,,game,Standalone,Comic-panel storytelling crossover,,,,,,,,,,,,,,,,,,,action/fighting,,Standalone,Comic-panel storytelling crossover,Empire Software / Medalist International; Paragon Software; Paragon Software Corporation,Amiga; Amstrad CPC; Atari ST; Commodore 64; MS-DOS; ZX Spectrum,16,5,,0,,0,0,,,,
43,The Amazing Spider-Man (1990 Game Boy),1990,,game,Standalone,First Game Boy Spider-Man; start of Game Boy trilogy,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,First Game Boy Spider-Man; start of Game Boy trilogy,LJN; Nintendo; Rare,Game Boy,3,0,,5,66.4,0,0,,,,
42,The Amazing Spider-Man (1990 computer),1990,,game,Standalone,Home computer release,,,,,,,,,,,,,,,,,,,puzzle-action,,Standalone,Home computer release,Oxford Digital Enterprises; Paragon Software,Amiga; Atari ST; Commodore 64; MS-DOS,2,0,,0,,0,0,,,,
45,Spider-Man vs. The Kingpin,1991,1991-01-01,game,Standalone,"Released 1991 Genesis/Master System, 1992 Game Gear, 1993 Sega CD",,,,,,,,,,,,,,,,,,,action platformer,,Standalone,"Released 1991 Genesis/Master System, 1992 Game Gear, 1993 Sega CD",Acclaim Entertainment / Flying Edge; Sega; Technopop,Game Gear; Master System; Sega CD; Sega Genesis/Mega Drive,14,15,,1,73.0,0,0,,,,
46,Spider-Man: The Video Game,1991,,game,Standalone,4-player arcade cabinet,,,,,,,,,,,,,,,,,,,beat 'em up/platformer,,Standalone,4-player arcade cabinet,Sega,Arcade (Sega System 32),4,2,,0,,0,0,,,,
44,The Punisher: The Ultimate Payback!,1991,,game,Standalone,Spider-Man appears as supporting character,,,,,,,,,,,,,,,,,,,light gun/shooter,,Standalone,Spider-Man appears as supporting character,Acclaim Entertainment; Beam Software,Game Boy,3,0,,0,,0,0,,,,
49,Spider-Man and the X-Men in Arcade's Revenge,1992,,game,Standalone,Crossover with the X-Men,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,Crossover with the X-Men,Flying Edge; LJN; Software Creations (UK); Unexpected Development,Game Boy; Game Gear; Mega Drive/Genesis; Super NES,5,3,,12,64.2,0,0,,,,
48,Spider-Man: Return of the Sinister Six,1992,,game,Standalone,First NES Spider-Man,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,First NES Spider-Man,"Acclaim Entertainment; Bits Studios; LJN (NES), Flying Edge (Sega)",Game Gear; Master System; NES,7,1,,1,72.0,0,0,,,,
47,The Amazing Spider-Man 2 (1992),1992,,game,Standalone,Game Boy trilogy part 2,,,,,,,,,,,,,,,,,,,side-scrolling beat 'em up,,Standalone,Game Boy trilogy part 2,Bits Studios; LJN,Game Boy,3,0,,5,66.4,0,0,,,,
50,The Amazing Spider-Man 3: Invasion of the Spider-Slayers,1993,,game,Standalone,Game Boy trilogy part 3,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,Game Boy trilogy part 3,Bits Studios; LJN,Game Boy,3,0,,5,66.4,0,0,,,,
51,Spider-Man and Venom: Maximum Carnage,1994,,game,Standalone,Based on the Maximum Carnage comic arc,,,,,,,,,,,,,,,,,,,beat 'em up,,Standalone,Based on the Maximum Carnage comic arc,Acclaim Entertainment / LJN; Software Creations,Sega Genesis/Mega Drive; Super NES,15,8,,3,65.4,0,0,,,,
54,Spider-Man (1995 video game),1995,,game,Standalone,Based on the 1994 animated series,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,Based on the 1994 animated series,Acclaim Entertainment / LJN; Western Technologies,Sega Genesis; Super Nintendo Entertainment System,3,1,,3,34.2,0,0,,,,
52,The Amazing Spider-Man: Lethal Foes,1995,,game,Standalone,Japan-only Super Famicom release,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,Japan-only Super Famicom release,Argent; Epoch Co.,Super Famicom,15,11,,1,52.5,0,0,,,,
53,Venom/Spider-Man: Separation Anxiety,1995,,game,Standalone,Sequel to Maximum Carnage,,,,,,,,,,,,,,,,,,,beat 'em up,,Standalone,Sequel to Maximum Carnage,Acclaim Entertainment; Software Creations,Mega Drive/Genesis; PC (Windows); Super NES,8,6,,5,41.0,0,0,,,,
