studio_id,wikidata_id,wikipedia_title,industry,headquarters,inception,dissolved
2,Q43380,CBS,media industry,CBS Building,1927-09-18,
3,Q186941,Columbia Pictures,film production,Culver City,1918,
5,Q5149791,Columbia Pictures Television,television,Sony Pictures Studios,1974-05-06,2001-01-01
6,Q1066018,Toei Company,film industry,Chūō,1950-10-01,
7,Q1200552,Marvel Entertainment,entertainment,New York City,1998-06,2023-03-29
9,Q2065128,Sony Pictures Motion Picture Group,outline of entertainment,Culver City,1998,
10,Q1200552,Marvel Entertainment,entertainment,New York City,1998-06,2023-03-29
12,Q111310084,,,,,
13,Q17991752,,,,,
15,Q367466,Marvel Studios,film industry,Burbank,1993-01-01,
16,Q110545747,,,,,
17,Q1416835,Sony Pictures Animation,computer animation,Culver City,2002-01-01,
18,Q109569652,Lord Miller Productions,,,,
19,Q22080095,Tencent Pictures,film industry,Shanghai,2015,
20,Q17305133,Di Bonaventura Pictures,film production,Los Angeles,2003,
24,Q121337292,,,,,
25,Q173496,Marvel Comics,comics industry,New York City,1961-06,
27,Q11527250,,,Tsukiji,1970-06-10,
29,Q3115420,Grantray-Lawrence Animation,animation,,1954-01-01,
31,Q3296046,Marvel Productions,television,Hollywood,1981,1996
32,Q2719775,BVS Entertainment,animation,Los Angeles,1988-01-01,2002
33,Q65089865,Disney XD (United Kingdom and Ireland),,Hammersmith,,2020-10-01
34,Q4817265,Atomic Cartoons,animation,,1999,
35,Q3299128,Mainframe Studios,computer animation,Vancouver,1991,
36,Q966852,Adelaide Productions,animation,Culver City,1993,
37,Q652390,Sony Pictures Television,television,Culver City,2002-09-16,
39,Q2722120,Film Roman,film industry,Burbank,1984-10-26,2018-05-01
40,Q2425877,Marvel Animation,audiovisual production,Glendale,2008-01-25,
42,Q3543894,Polygon Pictures,video game industry,Minato,1983-07-22,
44,Q4740868,Amazon MGM Studios,,Culver City,2010,
45,Q1501379,Parker Brothers,game industry,Salem,1883,1998
46,Q4686510,Adventure International,video game industry,Longwood,1978,1985
47,Q7134604,Paragon Software,video game industry,Greensburg,1987,1992
50,Q7692650,,video game industry,California,1990,2000
51,Q122741,Sega,video game industry,Shinagawa,1960-06-03,
53,Q4035139,Bits Studios,video game industry,London,1984-01-01,
54,Q339228,Acclaim Entertainment,video game industry,Glen Cove,1987-01-01,2004-09-01
58,Q3206072,LJN,video game industry,New York City,1970-01-01,1995
60,Q7554189,Software Creations,video game industry,Manchester,1985,2004
63,Q132358,Epoch Co.,video game industry,Taitō-ku,1958-05-06,
65,Q1136254,BlueSky Software,video game industry,California,1988-01-01,2001-03
66,Q2482897,Zono,video game industry,Costa Mesa,1991,2007
67,Q970264,Neversoft,video game industry,Woodland Hills,1994-07,2014-07-10
68,Q382543,Treyarch,video game industry,Santa Monica,1996-01-01,
69,Q25377881,,video game industry,Simi Valley,1981,2010
71,Q2737798,Edge of Reality,video game industry,Austin,1988,2018
72,Q1947354,Blizzard Albany,video game industry,Albany,1994-01-01,
73,Q200491,Activision,video game industry,Santa Monica,1979-10-01,
74,Q738135,Aspyr,video game industry,Austin,1996-01-01,
75,Q1091035,Success (company),video game industry,Shinagawa,1978-01-01,
76,Q65088849,Digital Eclipse,video game industry,California,1992-08-07,
78,Q1054844,Taito,video game industry,Shinjuku,1953-08-24,
79,Q775346,Beenox,video game industry,Quebec City,2000,
82,Q2719211,Next Level Games,video game industry,Vancouver,2002-08-22,
83,Q2406160,Shaba Games,video game industry,San Francisco,1997-01-01,2009-10-08
84,Q2450081,Glu Mobile,video game industry,San Francisco,2005-01-01,
85,Q521489,Amaze Entertainment,video game industry,Kirkland,1997,2009
86,Q31641433,Other Ocean,video game industry,Emeryville,2006,
87,Q689093,Gameloft,video game publishing,Paris,1999-01-01,
88,Q2617918,High Voltage Software,video game industry,Hoffman Estates,1993-01-01,
89,Q207784,Square Enix,video game industry,Shinjuku,1975,
90,Q102271088,Gameloft Barcelona,video game industry,,,
91,Q2568920,Traveller's Tales,video game industry,Knutsford,1989,
92,Q5042600,,video game industry,Wilmslow,2006,
93,Q2319420,Warner Bros. Games,video game industry,Burbank,2004-01,
94,Q863618,Feral Interactive,video game industry,London,1997-01-01,
95,Q1141245,Insomniac Games,video game industry,Burbank,1994-02-28,
96,Q18594,Sony Interactive Entertainment,interactive entertainment,Tokyo,1993-11-15,
97,Q13219333,Nixxes Software,porting,Utrecht,1999-08,
99,Q642707,Rare (company),video game industry,Twycross,1985,
100,Q8093,Nintendo,video game industry,Kyoto,1889-09-23,
101,Q2456686,Beam Software,video game industry,Melbourne,1977,2010
102,Q4974880,,video game industry,,,
104,Q4893510,Torus Games,video game industry,Bayswater,1994,2024
