id,name,country,parent_company
1,Danchuck Productions,,
2,CBS,,
3,Columbia Pictures,,
4,Charles Fries Productions,,
5,Columbia Pictures Television,,
6,Toei Company,,
7,Marvel Enterprises,,
8,Laura Ziskin Productions,,
9,Sony Pictures Releasing,,
10,Marvel Entertainment,,
11,Arad Productions,,
12,Matt Tolmach Productions,,
13,"Arad Productions, Inc.",,
14,Ingenious Film Studios,,
15,Marvel Studios,,
16,Pascal Pictures,,
17,Sony Pictures Animation,,
18,Lord Miller Productions,,
19,Tencent Pictures,,
20,Di Bonaventura Pictures,,
21,Marcel Hardy Productions,,
22,Hutch Parker Entertainment,,
23,Lord Miller,,
24,Children's Television Workshop,,
25,Marvel Comics Group,,
26,Dan Goodman Productions,,
27,Toei Advertising,,
28,Tokyo Channel 12,,
29,Grantray-Lawrence Animation,,
30,Krantz Films,,
31,Marvel Productions,,
32,Saban Entertainment,,
33,Fox Kids Network,,
34,Atomic Cartoons,,
35,Mainframe Entertainment,,
36,Adelaide Productions,,
37,Sony Pictures Television,,
38,Culver Entertainment,,
39,Film Roman,,
40,Marvel Animation,,
41,Marvel Studios Animation,,
42,Polygon Pictures,,
43,"CGCG, Inc.",,
44,Amazon MGM Studios,,
45,Parker Brothers,,
46,Adventure International,,
47,Paragon Software,,
48,Empire Software / Medalist International,,
49,Paragon Software Corporation,,
50,Technopop,,
51,Sega,,
52,Acclaim Entertainment / Flying Edge,,
53,Bits Studios,,
54,Acclaim Entertainment,,
55,"LJN (NES), Flying Edge (Sega)",,
56,Software Creations (UK),,
57,Unexpected Development,,
58,LJN,,
59,Flying Edge,,
60,Software Creations,,
61,Acclaim Entertainment / LJN,,
62,Argent,,
63,Epoch Co.,,
64,Western Technologies,,
65,BlueSky Software,,
66,Zono,,
67,Neversoft,,
68,Treyarch,,
69,LTI Gray Matter,,
70,Westlake Interactive,,
71,Edge of Reality,,
72,Vicarious Visions,,
73,Activision,,
74,Aspyr,,
75,Success,,
76,Digital Eclipse,,
77,The Fizz Factor,,
78,Taito,,
79,Beenox,,
80,Mforma,,
81,Artificial Mind & Movement (A2M/Behaviour),,
82,Next Level Games,,
83,Shaba Games,,
84,Griptonite Games,,
85,Amaze Entertainment,,
86,Other Ocean Interactive,,
87,Gameloft,,
88,High Voltage Software,,
89,Square Enix,,
90,Gameloft Barcelona,,
91,Traveller's Tales,,
92,TT Fusion,,
93,Warner Bros. Interactive Entertainment,,
94,Feral Interactive,,
95,Insomniac Games,,
96,Sony Interactive Entertainment,,
97,Nixxes Software,,
98,Oxford Digital Enterprises,,
99,Rare,,
100,Nintendo,,
101,Beam Software,,
102,Brooklyn Multimedia,,
103,Byron Preiss Multimedia,,
104,Torus Games,,
