work_id,sub_type,format,network,start_year,end_year,seasons,episodes,head_writer,voice_actor_spider_man,status
24,live-action,sketch segment,PBS (The Electric Company),1974,1977,,,,Danny Seagren,ended
25,live-action,live-action series,CBS,1977,1979,2,13,,Nicholas Hammond,ended
26,live-action,tokusatsu series,Tokyo Channel 12 (TV Tokyo),1978,1979,1,41,,Shinji Tōdō (Takuya Yamashiro),ended
27,live-action,live-action series,MGM+ / Prime Video,2026,2026,1,8,,Nicolas Cage,current
28,animated,animated series,ABC,1967,1970,3,52,Grant Simmons; Clyde Geronimi; Sid Marcus (s1); Ralph Bakshi (s2+),Paul Soles,ended
29,animated,animated series,Syndication,1981,1982,1,26,,Ted Schwartz,ended
30,animated,animated series,NBC,1981,1983,3,24,,Dan Gilvezan,ended
31,animated,animated series,Fox Kids,1994,1998,5,65,John Semper Jr.,Christopher Daniel Barnes,ended
32,animated,animated series,Fox Kids,1999,2001,1,13,Michael Reaves (1-6); Robert Gregory Browne & Larry Brody (7-13),Rino Romano,ended
33,animated,CGI animated series,MTV,2003,2003,1,13,,Neil Patrick Harris,ended
34,animated,animated series,The CW / Disney XD,2008,2009,2,26,Greg Weisman,Josh Keaton,ended
35,animated,animated series,Disney XD,2012,2017,4,104,Brian Michael Bendis; Paul Dini,Drake Bell,ended
36,animated,animated series,Disney XD,2017,2020,3,58,Kevin Shinick,Robbie Daymond,ended
37,animated,animated series (preschool),Disney Junior,2021,,4,103,Becca Topol,Benjamin Valic (s1-2); Alkaio Thiele (s3+),current
38,animated,animated series,Disney+,2025,,1,10,Jeff Trammell,Hudson Thames,current
