work_id,character_id,actor_person_id,billing_order,notes
1,1,1,1,
1,2,2,2,
1,3,,,
1,4,,,
1,5,,,
2,1,1,1,
2,2,3,3,
2,6,4,2,
2,7,,,
3,1,,,
3,2,3,2,
3,8,5,6,
3,9,6,3,
3,10,7,5,
4,11,8,1,
4,12,9,2,
4,13,,,
5,1,10,1,
5,14,11,2,
5,15,12,3,
5,16,13,4,
5,17,,,
5,18,,,
5,2,14,7,
5,19,15,8,
5,4,16,10,
5,20,,,
5,21,,,
6,1,10,1,
6,22,17,4,
6,15,12,2,
6,16,13,3,
6,23,18,5,
6,24,19,6,
6,2,14,7,
6,25,20,8,
6,26,,,
6,14,,,
7,1,10,1,
7,27,21,4,
7,28,,,
7,29,13,3,
7,30,22,6,
7,31,23,7,
7,15,12,2,
7,23,18,8,
7,2,14,9,
7,14,,,
7,26,,,
8,1,24,1,
8,30,25,2,
8,26,26,3,
8,31,27,4,
8,32,28,5,
8,33,,,
8,34,,,
8,19,29,9,
8,35,30,6,
9,1,24,1,
9,30,25,2,
9,36,31,3,
9,37,32,4,
9,38,33,8,
9,39,,,
9,40,34,7,
9,41,,,
9,42,,,
9,43,,,
9,44,,,
10,1,35,1,
10,45,36,2,
10,46,37,3,
10,23,38,4,
10,47,39,5,
10,48,40,6,
10,49,,,
10,50,,,
10,51,,,
10,19,41,10,
10,52,,,
10,53,42,12,
10,54,43,13,
10,55,,,
10,56,,,
10,57,,,
11,58,44,1,
11,59,45,2,
11,60,46,3,
11,52,,,
11,61,47,5,
11,62,48,7,
11,23,49,6,
11,63,50,8,
11,64,51,9,
11,65,52,10,
11,66,53,11,
11,67,,,
11,14,,,
11,68,,,
11,69,,,
11,70,,,
11,71,,,
11,72,,,
12,1,35,1,
12,73,54,2,
12,74,55,3,
12,75,56,5,
12,76,,,
12,47,39,6,
12,50,57,8,
12,19,41,10,
12,23,38,11,
12,77,58,9,
12,78,59,7,
12,2,,,
12,79,,,
12,80,,,
12,81,,,
12,82,,,
12,83,,,
12,84,,,
