work_id,country
1,United States
10,United States
11,United States
12,United States
13,United States
14,United States
15,United States
16,United States
16,United Kingdom
16,Canada
16,Germany
17,United States
17,People's Republic of China
18,United States
19,United States
2,United States
20,United States
21,United States
22,United States
23,United States
24,United States
25,United States
26,Japan
27,United States
28,Canada
28,United States
29,United States
3,United States
30,United States
31,United States
32,United States
33,United States
34,United States
35,United States
36,United States
37,United States
38,United States
39,United States
4,Japan
41,United Kingdom
42,United Kingdom
43,United Kingdom
44,Australia
45,United States
46,Japan
47,United Kingdom
48,United Kingdom
49,United Kingdom
5,United States
50,United Kingdom
51,United Kingdom
52,Japan
53,United Kingdom
54,United States
55,United States
57,United States
58,Australia
59,United States
6,United States
60,United States
61,United States
62,United States
63,United States
64,Australia
65,United States
66,United States
67,United States
68,France
69,United States
7,United States
70,Canada
72,Canada
73,France
74,United Kingdom
75,England
76,United States
77,United States
78,United States
79,United States
8,United States
80,United States
9,United States
