work_id,place,role
1,New York City,narrative
1,Los Angeles,filming
10,New York City,narrative
10,"Washington, D.C.",narrative
10,Pinewood Atlanta Studios,filming
10,Midtown High School,filming
10,Downtown,filming
10,New York City,filming
10,Astoria,filming
10,St. George,filming
10,Manhattan,filming
11,Brooklyn,narrative
11,Brooklyn,filming
12,New York City,narrative
12,Venice,narrative
12,London,narrative
12,Ixtenco,narrative
12,Prague,narrative
12,Berlin,narrative
12,Broek op Langedijk,narrative
13,New York City,narrative
13,Sanctum Sanctorum,narrative
13,Happy Hogan's Condominium,narrative
13,Statue of Liberty,narrative
16,New York City,narrative
17,San Francisco,narrative
17,Sarawak,narrative
17,Atlanta,filming
17,New York City,filming
17,San Francisco,filming
18,San Francisco,narrative
18,California,narrative
18,San Quentin Rehabilitation Center,narrative
18,Rodeo Beach,narrative
19,Cerro de la Muerte,narrative
19,Greece,narrative
19,New York City,narrative
19,Atlantic Ocean,narrative
19,The Tombs,narrative
19,Atlanta,filming
19,London,filming
19,Manchester,filming
2,Los Angeles,filming
22,Cartagena,filming
22,Parque Regional de Calblanque,filming
25,New York City,narrative
27,New York City,narrative
28,New York City,narrative
3,Los Angeles,filming
30,New York City,narrative
31,New York City,narrative
33,New York City,narrative
33,New York,narrative
34,New York City,narrative
35,New York City,narrative
39,New York City,narrative
43,New York City,narrative
44,New York City,narrative
45,New York City,narrative
46,New York City,narrative
48,New York City,narrative
49,New York City,narrative
5,New York City,narrative
5,New York City,filming
5,Los Angeles,filming
50,New York City,narrative
51,San Francisco,narrative
52,New York City,narrative
53,New York City,narrative
54,New York City,narrative
55,New York City,narrative
57,New York City,narrative
58,New York City,narrative
59,New York City,narrative
6,New York City,narrative
6,New York City,filming
6,Los Angeles,filming
6,Chicago,filming
60,New York City,narrative
61,New York City,narrative
62,New York City,narrative
63,New York City,narrative
64,New York City,narrative
65,New York City,narrative
66,Tokyo,narrative
66,Cairo,narrative
66,Nepal,narrative
66,Transylvania,narrative
67,New York City,narrative
68,New York City,narrative
69,New York City,narrative
7,New York City,narrative
7,New Jersey,filming
7,Los Angeles,filming
7,28 Liberty Street,filming
70,New York City,narrative
71,New York City,narrative
72,New York City,narrative
73,New York City,narrative
74,New York City,narrative
75,England,narrative
76,Manhattan,narrative
78,Manhattan,narrative
79,United States,narrative
79,Manhattan,narrative
8,Drochia,narrative
8,New York City,filming
8,Los Angeles,filming
80,Brooklyn,narrative
80,Queens,narrative
9,New York City,narrative
9,Long Island,filming
9,New York City,filming
9,Rochester,filming
