work_a_id,work_b_id,relation_type
1,2,sequel
1,3,sequel
1,25,same_universe
2,1,prequel
2,3,sequel
2,25,same_universe
3,1,prequel
3,2,prequel
3,25,same_universe
4,26,same_universe
5,6,sequel
5,7,sequel
5,13,crossover
6,7,sequel
6,13,crossover
7,6,prequel
7,17,spin_off
7,13,crossover
8,9,sequel
8,13,crossover
8,7,prequel
9,17,spin_off
9,13,crossover
10,12,sequel
10,13,sequel
10,17,same_universe
11,14,sequel
11,15,sequel
12,10,prequel
12,13,sequel
13,10,prequel
13,12,prequel
13,6,crossover
13,7,crossover
13,9,crossover
13,18,crossover
14,11,prequel
14,15,sequel
17,7,spin_off
17,18,sequel
17,22,sequel
17,19,same_universe
17,13,crossover
17,11,tie_in
18,17,prequel
18,22,sequel
18,13,crossover
18,19,same_universe
19,17,same_universe
19,18,same_universe
19,10,crossover
19,13,crossover
20,17,same_universe
20,19,same_universe
20,21,same_universe
21,17,same_universe
21,19,same_universe
21,20,same_universe
21,22,same_universe
21,9,prequel
22,17,prequel
22,18,prequel
22,13,crossover
22,19,same_universe
22,20,same_universe
22,21,same_universe
15,14,prequel
15,11,prequel
16,13,prequel
16,10,prequel
16,12,prequel
23,17,same_universe
23,19,same_universe
24,28,related
24,14,crossover
25,24,related
25,1,tie_in
25,2,tie_in
25,3,tie_in
28,11,crossover
28,14,crossover
29,28,related
29,30,same_universe
30,29,same_universe
30,14,crossover
31,32,sequel
32,31,sequel
32,14,crossover
33,5,tie_in
33,6,related
34,33,related
34,35,related
34,14,crossover
35,34,related
35,36,related
36,35,related
36,37,related
37,30,related
38,34,related
27,11,spin_off
51,53,sequel
53,51,prequel
54,57,sequel
54,59,sequel
57,58,sequel
57,59,sequel
59,57,prequel
59,61,sequel
60,57,prequel
60,59,prequel
61,5,tie_in_game_of
61,62,sequel
62,61,prequel
62,6,tie_in_game_of
62,65,sequel
63,64,prequel
63,69,inspired
65,62,prequel
65,7,tie_in_game_of
65,66,spin_off
65,67,sequel
66,5,same_universe
66,65,tie_in_game_of
67,65,prequel
67,69,sequel
69,70,sequel
69,63,inspired
70,69,prequel
71,8,tie_in_game_of
71,72,sequel
72,8,tie_in_game_of
72,71,prequel
74,75,sequel
75,74,prequel
77,76,dlc_of
76,79,spin_off
76,80,sequel
79,76,prequel
79,77,prequel
79,80,sequel
79,78,same_universe
80,76,prequel
80,79,prequel
80,81,sequel
77,79,sequel
77,78,same_universe
42,43,related
43,47,sequel
43,50,sequel
47,43,prequel
47,50,sequel
50,47,prequel
56,58,related
58,57,prequel
64,63,related
78,76,remaster_of
78,79,same_universe
81,80,prequel
81,76,prequel
