work_id,release_date,place,event
1,1977-09-14,United States,
1,1978-03-15,France,
1,1978-04-21,Milan,
1,1978-06-16,Mexico,
1,1978-06-16,Germany,
1,1978-08-14,Spain,
1,1979-10-12,Denmark,
1,1980-04-04,Finland,
1,1981-05-14,Davao City,
1,1981-09-04,United Kingdom,
1,1981-10-05,Turkey,
10,2017-07-07,United States,
10,2017-06-28,Los Angeles,
10,2017-07-05,Sweden,
10,2017-07-06,Denmark,
10,2017-07-12,France,
10,2017-07-13,Germany,
10,2017-07-28,Spain,
10,2017-09-08,People's Republic of China,
11,2018-12-21,France,
11,2018-12-13,Czech Republic,
11,2018-12-14,United Kingdom,
11,2018-12-20,Brazil,
11,2018-12-21,Spain,
11,2018-12-25,Poland,
11,2018-12-26,Australia,
11,2019-01-10,Argentina,
11,2019-03-08,,
12,2019-07-02,United States,
12,2019-07-03,France,
12,2019-06-28,People's Republic of China,
12,2019-07-04,Argentina,
12,2019-07-05,Bulgaria,
12,2019-07-10,Italy,
13,2021-12-17,United States,
13,2021-12-16,Germany,
13,2021-12-15,Italy,
14,2023-06-02,France,
14,2023-06-01,United States,
14,2023-06-03,Hungary,
15,2027-06-18,United States,
16,2026-07-31,United States,
16,2026-07-29,Hungary,
17,2018-10-04,Russia,
17,2018-10-04,Germany,
17,2018-10-05,United Kingdom,
17,2018-10-04,Australia,
17,2018-10-10,France,
18,2021,,
18,2021-10-01,United States,
18,2021-10-21,Germany,
18,2021-10-14,Hungary,
18,2021-10-15,Bulgaria,
18,2021-11-04,Croatia,
18,2021-10-20,France,
18,2021-10-22,Iceland,
18,2021-10-28,Netherlands,
18,2021-11-19,Norway,
18,2021-10-07,Argentina,
18,2021-10-08,Mexico,
18,2021-11-25,Australia,
18,2021-10-13,Hong Kong,
18,2021-12-03,Japan,
18,2021-09-30,Russia,
19,2022-03-30,France,
19,2022-03-31,Germany,
19,2022-04-01,United States,
19,2022-04-14,Netherlands,
2,1978-12-21,Colombia,
2,1979-02-22,Milan,
2,1979-04-04,France,
2,1979-05-04,United Kingdom,
2,1979-06-09,Germany,
2,1979-07-13,Portugal,
2,1979-08-02,Netherlands,
2,1980-03-05,Uruguay,
2,1982-12,Turkey,
20,2024-02-14,United States,
20,2024-02-15,Hungary,
21,2024-12-13,Estonia,
21,2024-12-12,Hungary,
22,2024-10-21,New York City,
22,2024-10-25,United States,
22,2024-10-30,,
22,2024-10-24,Hungary,
22,2024-10-24,Argentina,
3,1979-07-06,,
3,1980-12-05,Milan,
3,1981-02-02,Brazil,
3,1981-02-13,Ireland,
3,1981-04-09,Portugal,
3,1981-04-13,Spain,
3,1981-05-07,Australia,
3,1981-06-25,Germany,
38,2025-01-29,,
39,1982,,
4,1978,,
40,1984-12-31,,
40,1984,,
41,1989-01-01,,
42,1990-01-01,,
43,1990-07,,
45,1990-01-01,,
46,1991-01-01,,
47,1992-08,,
48,1992-10,North America,
48,1992,Europe,
49,1993-08-19,,
5,2002-05-03,Canada,
5,2002-05-05,Greece,
5,2002-05-17,Uruguay,
5,2002-05-16,Argentina,
5,2002-05-10,South Africa,
5,2002-06-23,Sweden,
5,2002-06-06,Germany,
5,2002-06-12,France,
50,1993,,
51,1994-11-24,,
51,1994-09-16,North America,
51,1994,Europe,
51,1995-05-26,Japan,
52,1995-03-17,Japan,
53,1995-11,North America,
53,1996-03-22,Europe,
54,1995-01-01,,
55,1996,,
56,1996,United States,
57,2000-08-30,,
58,2001-05-30,,
59,2001-10-19,,
6,2004-06-30,United States,
6,2004-07-07,Sweden,
6,2004-07-08,Germany,
6,2004-07-14,France,
60,2001-02-07,,
61,2002-04-14,,
62,2004-06-28,,
63,2005-09-19,,
64,2006-11-14,,
65,2007-05-02,,
65,2008-03-19,Japan,
65,2007-05-04,North America,
66,2007-10-02,North America,
66,2007-10-10,Australia,
66,2007-10-12,Europe,
67,2008-10-21,North America,
67,2008-10-28,Australia,
67,2008-10-24,Europe,
68,2010-09-01,,
69,2010-09-07,North America,
69,2010-09-29,Australia,
69,2010-09-10,Europe,
7,2007-05-04,United States,
7,2007-05-04,Sweden,
7,2007-05-01,Germany,
70,2011-10-04,North America,
70,2011-10-26,Australia,
70,2011-10-14,Europe,
71,2012-06-26,North America,
71,2012-06-27,Australia,
71,2012-06-29,Europe,
72,2014-04-17,,
73,2014-09-10,,
74,2013-10-22,North America,
74,2013-11-15,Europe,
74,2013-11-15,North America,
74,2013-11-22,North America,
74,2014-02-18,North America,
74,2014-02-21,Europe,
74,2014-05-08,worldwide,
74,2015-01-22,Japan,
74,2021-10-08,worldwide,
75,2017-11-15,,
75,2017-11-14,,
76,2018-09-07,worldwide,
76,2020-11-12,worldwide,
76,2022-08-12,worldwide,
78,2020-11-12,worldwide,
78,2022,,
79,2020-11-12,worldwide,
79,2020-11-12,North America,
79,2020-11-19,worldwide,
79,2022-11-18,worldwide,
8,2012-06-28,Germany,
8,2012-07-03,United States,
8,2012-07-03,Sweden,
8,2014-05-01,Hungary,
8,2012-07-04,France,
8,2012-07-12,Hungary,
80,2023-10-20,worldwide,
80,2025-01-30,worldwide,
9,2014-05-02,United States,
9,2014-04-17,Germany,
9,2014-04-18,Sweden,
9,2014-04-30,France,
9,2014-05-01,Hungary,
