source_material_id,work_id,comic_id,match_method
1,1,127,issue
5,5,127,issue
6,5,195,parsed
6,5,196,parsed
7,6,128,issue
8,6,112,issue
8,6,113,issue
8,6,114,issue
9,6,86,issue
11,7,159,parsed
12,7,87,issue
13,7,112,issue
14,8,127,issue
15,8,62,title
16,8,89,issue
17,9,92,issue
18,9,195,parsed
18,9,196,parsed
19,9,116,issue
20,9,195,parsed
20,9,196,parsed
22,10,62,title
23,10,85,issue
24,10,126,issue
27,11,181,parsed
28,11,59,title
30,11,170,parsed
33,11,128,issue
34,11,257,parsed
35,12,96,issue
38,13,236,parsed
41,14,181,parsed
43,14,59,title
44,14,256,parsed
49,14,163,parsed
50,17,76,title
51,17,68,title
52,17,159,parsed
53,17,159,parsed
54,17,185,parsed
56,17,211,parsed
56,17,212,parsed
56,17,213,parsed
56,17,214,parsed
56,17,215,parsed
56,17,216,parsed
56,17,217,parsed
56,17,218,parsed
56,17,219,parsed
56,17,220,parsed
56,17,221,parsed
56,17,222,parsed
56,17,223,parsed
56,17,224,parsed
56,17,225,parsed
56,17,226,parsed
56,17,227,parsed
56,17,228,parsed
57,18,211,parsed
57,18,212,parsed
57,18,213,parsed
57,18,214,parsed
57,18,215,parsed
57,18,216,parsed
57,18,217,parsed
57,18,218,parsed
57,18,219,parsed
57,18,220,parsed
57,18,221,parsed
57,18,222,parsed
57,18,223,parsed
57,18,224,parsed
57,18,225,parsed
57,18,226,parsed
57,18,227,parsed
57,18,228,parsed
58,18,134,title
61,18,76,title
62,19,192,parsed
64,19,193,parsed
66,20,201,parsed
67,20,124,issue
68,20,177,parsed
69,20,162,parsed
70,20,111,issue
71,20,127,issue
72,20,132,issue
74,21,98,issue
76,21,84,issue
77,21,116,issue
78,21,200,parsed
79,21,158,parsed
81,22,159,parsed
86,22,185,parsed
87,22,185,parsed
88,15,92,issue
88,15,93,issue
88,15,94,issue
88,15,95,issue
88,15,96,issue
88,15,97,issue
88,15,98,issue
89,16,237,parsed
89,16,238,parsed
89,16,239,parsed
89,16,240,parsed
89,16,241,parsed
89,16,242,parsed
89,16,243,parsed
89,16,244,parsed
89,16,245,parsed
89,16,246,parsed
89,16,247,parsed
89,16,248,parsed
89,16,249,parsed
89,16,250,parsed
89,16,251,parsed
89,16,252,parsed
89,16,253,parsed
89,16,254,parsed
89,16,255,parsed
90,23,154,parsed
91,24,127,issue
97,31,79,title
98,32,84,issue
98,32,85,issue
98,32,86,issue
98,32,87,issue
98,32,88,issue
98,32,89,issue
98,32,90,issue
98,32,91,issue
98,32,92,issue
98,32,93,issue
98,32,94,issue
98,32,95,issue
98,32,96,issue
98,32,97,issue
98,32,98,issue
98,32,99,issue
98,32,101,issue
98,32,102,issue
98,32,103,issue
98,32,104,issue
98,32,105,issue
98,32,106,issue
98,32,107,issue
98,32,108,issue
98,32,109,issue
98,32,110,issue
99,33,62,title
101,35,62,title
104,38,79,title
105,27,170,parsed
105,27,171,parsed
105,27,172,parsed
105,27,173,parsed
111,48,205,parsed
111,48,206,parsed
111,48,207,parsed
111,48,208,parsed
111,48,209,parsed
111,48,210,parsed
114,53,188,parsed
114,53,189,parsed
114,53,190,parsed
114,53,191,parsed
115,53,182,parsed
115,53,183,parsed
115,53,184,parsed
115,53,185,parsed
115,53,186,parsed
115,53,187,parsed
124,63,168,parsed
130,71,79,title
131,72,85,title
139,50,229,parsed
139,50,230,parsed
139,50,231,parsed
139,50,232,parsed
139,50,233,parsed
139,50,234,parsed
140,56,100,issue
141,58,100,issue
142,68,168,parsed
