work_id,studio_id,role
1,1,production
1,2,distributor
1,3,distributor
2,4,production
2,5,distributor
2,3,distributor
3,1,production
3,5,distributor
3,3,distributor
4,6,production
4,6,distributor
5,3,production
5,7,in_association_with
5,8,production
5,9,distributor
6,3,production
6,7,production
6,8,production
6,9,distributor
7,3,production
7,10,production
7,8,production
7,9,distributor
8,3,production
8,10,production
8,8,production
8,11,production
8,12,production
8,9,distributor
9,3,production
9,10,production
9,13,production
9,12,production
9,14,financing
9,9,distributor
10,3,production
10,15,production
10,16,production
10,9,distributor
11,3,production
11,10,production
11,17,production
11,16,production
11,11,production
11,18,production
11,9,distributor
12,3,production
12,15,production
12,16,production
12,9,distributor
13,3,production
13,15,production
13,16,production
13,9,distributor
14,3,production
14,10,production
14,17,production
14,16,production
14,18,production
14,11,production
14,9,distributor
17,3,production
17,10,production
17,19,financing
17,11,production
17,12,production
17,16,production
17,9,distributor
18,3,production
18,10,production
18,11,production
18,12,production
18,16,production
18,9,distributor
19,3,production
19,10,production
19,11,production
19,12,production
19,9,distributor
20,3,production
20,10,production
20,20,production
20,9,distributor
21,3,production
21,10,production
21,11,production
21,12,production
21,9,distributor
22,3,production
22,10,production
22,11,production
22,12,production
22,16,production
22,21,production
22,22,production
22,9,distributor
15,3,production
15,17,production
15,10,production
15,16,production
15,23,production
15,9,distributor
16,3,production
16,15,production
16,16,production
16,9,distributor
23,3,production
23,10,production
23,9,distributor
24,24,production
24,25,co_production
25,4,production
25,26,production
25,25,co_production
25,5,distributor
26,6,production
26,27,co_production
26,28,co_production
28,29,production
28,30,production
28,25,co_production
29,31,production
30,31,production
31,10,production
31,32,co_production
31,33,distributor
32,15,production
32,32,production
32,34,co_production
33,35,production
33,7,co_production
33,36,co_production
33,37,distributor
34,36,production
34,10,co_production
34,38,co_production
34,37,distributor
35,39,production
35,40,co_production
36,40,production
37,40,production
37,41,production
37,34,co_production
38,41,production
38,42,co_production
38,43,co_production
27,44,production
27,37,production
27,3,production
27,16,production
39,45,developer
39,45,publisher
40,46,developer
40,46,publisher
41,47,developer
41,48,publisher
41,49,publisher
45,50,developer
45,51,developer
45,51,publisher
45,52,publisher
46,51,developer
46,51,publisher
48,53,developer
48,54,publisher
48,55,publisher
49,56,developer
49,57,developer
49,58,publisher
49,59,publisher
51,60,developer
51,61,publisher
52,62,developer
52,63,publisher
53,60,developer
53,54,publisher
54,64,developer
54,61,publisher
55,65,developer
55,66,co_developer
55,51,publisher
57,67,developer
57,68,port
57,69,port
57,70,port
57,71,port
57,72,port
57,73,publisher
57,74,publisher
59,72,developer
59,73,publisher
59,75,publisher
60,72,developer
60,73,publisher
61,68,developer
61,69,developer
61,76,developer
61,73,publisher
62,68,developer
62,77,developer
62,76,developer
62,72,developer
62,73,publisher
62,74,publisher
62,78,publisher
63,68,developer
63,79,port
63,72,developer
63,80,developer
63,73,publisher
63,80,publisher
63,78,publisher
65,68,developer
65,79,port
65,72,developer
65,73,publisher
66,81,developer
66,79,developer
66,82,developer
66,73,publisher
67,83,developer
67,68,co_developer
67,74,port
67,84,developer
67,85,developer
67,73,publisher
69,79,developer
69,84,developer
69,73,publisher
70,79,developer
70,86,developer
70,73,publisher
71,79,developer
71,86,developer
71,87,developer
71,73,publisher
72,79,developer
72,88,developer
72,87,developer
72,73,publisher
72,89,publisher
73,90,developer
73,87,publisher
74,91,developer
74,92,developer
74,93,publisher
74,94,publisher
75,91,developer
75,93,publisher
75,94,publisher
76,95,developer
76,96,publisher
76,97,port
79,95,developer
79,96,publisher
79,97,port
80,95,developer
80,96,publisher
80,97,port
77,95,developer
77,96,publisher
77,97,port
42,98,developer
42,47,publisher
43,99,developer
43,58,publisher
43,100,publisher
44,101,developer
44,54,publisher
47,53,developer
47,58,publisher
50,53,developer
50,58,publisher
56,102,developer
56,103,publisher
58,104,developer
58,73,publisher
64,104,developer
64,73,publisher
68,87,developer
68,87,publisher
78,95,developer
78,97,port
78,96,publisher
81,95,developer
81,96,publisher
